arith.divider_active, 0x914
ocr.demand_data_rd.any_response_0, 0x1b7, 0x10001
ocr.demand_data_rd.any_response_1, 0x1bb, 0x10001
ocr.demand_data_rd.dram_0, 0x1b7, 0x73c000001
ocr.demand_data_rd.dram_1, 0x1bb, 0x73c000001
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0001
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0001
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd_0, 0x1b7, 0x8003c0001
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd_1, 0x1bb, 0x8003c0001
ocr.demand_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0001
ocr.demand_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0001
ocr.demand_data_rd.l3_hit_0, 0x1b7, 0x3f803c0001
ocr.demand_data_rd.l3_hit_1, 0x1bb, 0x3f803c0001
ocr.demand_data_rd.l3_miss_0, 0x1b7, 0x3fbfc00001
ocr.demand_data_rd.l3_miss_1, 0x1bb, 0x3fbfc00001
ocr.demand_data_rd.l3_miss_local_0, 0x1b7, 0x3f84400001
ocr.demand_data_rd.l3_miss_local_1, 0x1bb, 0x3f84400001
ocr.demand_data_rd.local_dram_0, 0x1b7, 0x104000001
ocr.demand_data_rd.local_dram_1, 0x1bb, 0x104000001
ocr.demand_data_rd.local_pmm_0, 0x1b7, 0x100400001
ocr.demand_data_rd.local_pmm_1, 0x1bb, 0x100400001
ocr.demand_data_rd.pmm_0, 0x1b7, 0x703c00001
ocr.demand_data_rd.pmm_1, 0x1bb, 0x703c00001
ocr.demand_data_rd.remote_cache.snoop_hit_with_fwd_0, 0x1b7, 0x830000001
ocr.demand_data_rd.remote_cache.snoop_hit_with_fwd_1, 0x1bb, 0x830000001
ocr.demand_data_rd.remote_cache.snoop_hitm_0, 0x1b7, 0x1030000001
ocr.demand_data_rd.remote_cache.snoop_hitm_1, 0x1bb, 0x1030000001
ocr.demand_data_rd.remote_dram_0, 0x1b7, 0x730000001
ocr.demand_data_rd.remote_dram_1, 0x1bb, 0x730000001
ocr.demand_data_rd.remote_pmm_0, 0x1b7, 0x703000001
ocr.demand_data_rd.remote_pmm_1, 0x1bb, 0x703000001
ocr.demand_data_rd.snc_cache.hit_with_fwd_0, 0x1b7, 0x808000001
ocr.demand_data_rd.snc_cache.hit_with_fwd_1, 0x1bb, 0x808000001
ocr.demand_data_rd.snc_cache.hitm_0, 0x1b7, 0x1008000001
ocr.demand_data_rd.snc_cache.hitm_1, 0x1bb, 0x1008000001
ocr.demand_data_rd.snc_dram_0, 0x1b7, 0x708000001
ocr.demand_data_rd.snc_dram_1, 0x1bb, 0x708000001
ocr.demand_data_rd.snc_pmm_0, 0x1b7, 0x700800001
ocr.demand_data_rd.snc_pmm_1, 0x1bb, 0x700800001
ocr.demand_rfo.any_response_0, 0x1b7, 0x3f3ffc0002
ocr.demand_rfo.any_response_1, 0x1bb, 0x3f3ffc0002
ocr.demand_rfo.dram_0, 0x1b7, 0x73c000002
ocr.demand_rfo.dram_1, 0x1bb, 0x73c000002
ocr.demand_rfo.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0002
ocr.demand_rfo.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0002
ocr.demand_rfo.l3_hit_0, 0x1b7, 0x3f803c0002
ocr.demand_rfo.l3_hit_1, 0x1bb, 0x3f803c0002
ocr.demand_rfo.l3_miss_0, 0x1b7, 0x3f3fc00002
ocr.demand_rfo.l3_miss_1, 0x1bb, 0x3f3fc00002
