arith.divider_active, 0x114
offcore_requests_outstanding.cycles_with_demand_rfo, 0x460
offcore_requests_outstanding.cycles_with_l3_miss_demand_data_rd, 0x1060
offcore_requests_outstanding.demand_code_rd, 0x260
offcore_requests_outstanding.demand_data_rd, 0x160
offcore_requests_outstanding.demand_data_rd_ge_6, 0x160
offcore_requests_outstanding.demand_rfo, 0x460
offcore_requests_outstanding.l3_miss_demand_data_rd, 0x1060
offcore_requests_outstanding.l3_miss_demand_data_rd_ge_6, 0x1060
offcore_response.demand_code_rd.any_response_0, 0x1b7, 0x10004
offcore_response.demand_code_rd.any_response_1, 0x1bb, 0x10004
offcore_response.demand_code_rd.l3_hit.any_snoop_0, 0x1b7, 0x3fc01c0004
offcore_response.demand_code_rd.l3_hit.any_snoop_1, 0x1bb, 0x3fc01c0004
offcore_response.demand_code_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4001c0004
offcore_response.demand_code_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4001c0004
offcore_response.demand_code_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10001c0004
offcore_response.demand_code_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10001c0004
offcore_response.demand_code_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2001c0004
offcore_response.demand_code_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2001c0004
offcore_response.demand_code_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20001c0004
offcore_response.demand_code_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20001c0004
offcore_response.demand_code_rd.l3_hit.snoop_none_0, 0x1b7, 0x801c0004
offcore_response.demand_code_rd.l3_hit.snoop_none_1, 0x1bb, 0x801c0004
offcore_response.demand_code_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1001c0004
offcore_response.demand_code_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1001c0004
offcore_response.demand_code_rd.l3_hit.spl_hit_0, 0x1b7, 0x401c0004
offcore_response.demand_code_rd.l3_hit.spl_hit_1, 0x1bb, 0x401c0004
offcore_response.demand_code_rd.l3_hit_e.any_snoop_0, 0x1b7, 0x3fc0080004
offcore_response.demand_code_rd.l3_hit_e.any_snoop_1, 0x1bb, 0x3fc0080004
