arith.fpu_div_active, 0x114
offcore_response.other.supplier_none.snoop_not_needed_1, 0x1bb, 0x100028000
offcore_response.pf_l2_code_rd.any_response_0, 0x1b7, 0x10040
offcore_response.pf_l2_code_rd.any_response_1, 0x1bb, 0x10040
offcore_response.pf_l2_code_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0040
offcore_response.pf_l2_code_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0040
offcore_response.pf_l2_code_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0040
offcore_response.pf_l2_code_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000040
offcore_response.pf_l2_code_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000040
offcore_response.pf_l2_code_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000040
offcore_response.pf_l2_code_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020040
offcore_response.pf_l2_code_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020040
offcore_response.pf_l2_code_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020040
offcore_response.pf_l2_data_rd.any_response_0, 0x1b7, 0x10010
offcore_response.pf_l2_data_rd.any_response_1, 0x1bb, 0x10010
offcore_response.pf_l2_data_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0010
offcore_response.pf_l2_data_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0010
offcore_response.pf_l2_data_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0010
offcore_response.pf_l2_data_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000010
offcore_response.pf_l2_data_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000010
offcore_response.pf_l2_data_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000010
offcore_response.pf_l2_data_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020010
offcore_response.pf_l2_data_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020010
offcore_response.pf_l2_data_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020010
offcore_response.pf_l2_rfo.any_response_0, 0x1b7, 0x10020
offcore_response.pf_l2_rfo.any_response_1, 0x1bb, 0x10020
offcore_response.pf_l2_rfo.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0020
offcore_response.pf_l2_rfo.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_none_0, 0x1b7, 0x803c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_none_1, 0x1bb, 0x803c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0020
offcore_response.pf_l2_rfo.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0020
offcore_response.pf_l2_rfo.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000020
offcore_response.pf_l2_rfo.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000020
offcore_response.pf_l2_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000020
offcore_response.pf_l2_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000020
offcore_response.pf_l2_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000020
offcore_response.pf_l2_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000020
offcore_response.pf_l2_rfo.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000020
offcore_response.pf_l2_rfo.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000020
offcore_response.pf_l2_rfo.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000020
offcore_response.pf_l2_rfo.supplier_none.any_snoop_0, 0x1b7, 0x3f80020020
offcore_response.pf_l2_rfo.supplier_none.any_snoop_1, 0x1bb, 0x3f80020020
offcore_response.pf_l2_rfo.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020020
offcore_response.pf_l2_rfo.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020020
offcore_response.pf_l2_rfo.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020020
offcore_response.pf_l2_rfo.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020020
offcore_response.pf_l2_rfo.supplier_none.snoop_miss_0, 0x1b7, 0x200020020
offcore_response.pf_l2_rfo.supplier_none.snoop_miss_1, 0x1bb, 0x200020020
offcore_response.pf_l2_rfo.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020020
offcore_response.pf_l2_rfo.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020020
offcore_response.pf_l2_rfo.supplier_none.snoop_none_0, 0x1b7, 0x80020020
offcore_response.pf_l2_rfo.supplier_none.snoop_none_1, 0x1bb, 0x80020020
offcore_response.pf_l2_rfo.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020020
offcore_response.pf_l2_rfo.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020020
offcore_response.pf_l3_code_rd.any_response_0, 0x1b7, 0x10200
offcore_response.pf_l3_code_rd.any_response_1, 0x1bb, 0x10200
offcore_response.pf_l3_code_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0200
offcore_response.pf_l3_code_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0200
offcore_response.pf_l3_code_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0200
offcore_response.pf_l3_code_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000200
offcore_response.pf_l3_code_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000200
offcore_response.pf_l3_code_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000200
offcore_response.pf_l3_code_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020200
offcore_response.pf_l3_code_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020200
offcore_response.pf_l3_code_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020200
offcore_response.pf_l3_data_rd.any_response_0, 0x1b7, 0x10080
offcore_response.pf_l3_data_rd.any_response_1, 0x1bb, 0x10080
offcore_response.pf_l3_data_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0080
offcore_response.pf_l3_data_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0080
offcore_response.pf_l3_data_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0080
offcore_response.pf_l3_data_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000080
offcore_response.pf_l3_data_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000080
offcore_response.pf_l3_data_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000080
offcore_response.pf_l3_data_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020080
offcore_response.pf_l3_data_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020080
offcore_response.pf_l3_data_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020080
offcore_response.pf_l3_rfo.any_response_0, 0x1b7, 0x10100
offcore_response.pf_l3_rfo.any_response_1, 0x1bb, 0x10100
offcore_response.pf_l3_rfo.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0100
offcore_response.pf_l3_rfo.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_none_0, 0x1b7, 0x803c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_none_1, 0x1bb, 0x803c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0100
offcore_response.pf_l3_rfo.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0100
offcore_response.pf_l3_rfo.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000100
offcore_response.pf_l3_rfo.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000100
offcore_response.pf_l3_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000100
offcore_response.pf_l3_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000100
offcore_response.pf_l3_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000100
offcore_response.pf_l3_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000100
offcore_response.pf_l3_rfo.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000100
offcore_response.pf_l3_rfo.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000100
offcore_response.pf_l3_rfo.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000100
