arith.fpu_div_active, 0x114
offcore_response.all_pf_code_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020240
offcore_response.all_pf_code_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020240
offcore_response.all_pf_code_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020240
offcore_response.all_pf_code_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020240
offcore_response.all_pf_code_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020240
offcore_response.all_pf_code_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020240
offcore_response.all_pf_code_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020240
offcore_response.all_pf_code_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020240
offcore_response.all_pf_code_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020240
offcore_response.all_pf_data_rd.any_response_0, 0x1b7, 0x10090
offcore_response.all_pf_data_rd.any_response_1, 0x1bb, 0x10090
offcore_response.all_pf_data_rd.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0090
offcore_response.all_pf_data_rd.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_none_0, 0x1b7, 0x803c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_none_1, 0x1bb, 0x803c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0090
offcore_response.all_pf_data_rd.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0090
offcore_response.all_pf_data_rd.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000090
offcore_response.all_pf_data_rd.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000090
offcore_response.all_pf_data_rd.l3_miss.snoop_miss_0, 0x1b7, 0x23c000090
offcore_response.all_pf_data_rd.l3_miss.snoop_miss_1, 0x1bb, 0x23c000090
offcore_response.all_pf_data_rd.l3_miss.snoop_none_0, 0x1b7, 0xbc000090
offcore_response.all_pf_data_rd.l3_miss.snoop_none_1, 0x1bb, 0xbc000090
offcore_response.all_pf_data_rd.l3_miss.snoop_not_needed_0, 0x1b7, 0x13c000090
offcore_response.all_pf_data_rd.l3_miss.snoop_not_needed_1, 0x1bb, 0x13c000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.any_snoop_0, 0x1b7, 0x3f84000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.any_snoop_1, 0x1bb, 0x3f84000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_0, 0x1b7, 0x404000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_hit_no_fwd_1, 0x1bb, 0x404000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_hitm_0, 0x1b7, 0x1004000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_hitm_1, 0x1bb, 0x1004000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_miss_0, 0x1b7, 0x204000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_miss_1, 0x1bb, 0x204000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_non_dram_0, 0x1b7, 0x2004000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_non_dram_1, 0x1bb, 0x2004000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_none_0, 0x1b7, 0x84000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_none_1, 0x1bb, 0x84000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_not_needed_0, 0x1b7, 0x104000090
offcore_response.all_pf_data_rd.l3_miss_local_dram.snoop_not_needed_1, 0x1bb, 0x104000090
offcore_response.all_pf_data_rd.supplier_none.any_snoop_0, 0x1b7, 0x3f80020090
offcore_response.all_pf_data_rd.supplier_none.any_snoop_1, 0x1bb, 0x3f80020090
offcore_response.all_pf_data_rd.supplier_none.snoop_hit_no_fwd_0, 0x1b7, 0x400020090
offcore_response.all_pf_data_rd.supplier_none.snoop_hit_no_fwd_1, 0x1bb, 0x400020090
offcore_response.all_pf_data_rd.supplier_none.snoop_hitm_0, 0x1b7, 0x1000020090
offcore_response.all_pf_data_rd.supplier_none.snoop_hitm_1, 0x1bb, 0x1000020090
offcore_response.all_pf_data_rd.supplier_none.snoop_miss_0, 0x1b7, 0x200020090
offcore_response.all_pf_data_rd.supplier_none.snoop_miss_1, 0x1bb, 0x200020090
offcore_response.all_pf_data_rd.supplier_none.snoop_non_dram_0, 0x1b7, 0x2000020090
offcore_response.all_pf_data_rd.supplier_none.snoop_non_dram_1, 0x1bb, 0x2000020090
offcore_response.all_pf_data_rd.supplier_none.snoop_none_0, 0x1b7, 0x80020090
offcore_response.all_pf_data_rd.supplier_none.snoop_none_1, 0x1bb, 0x80020090
offcore_response.all_pf_data_rd.supplier_none.snoop_not_needed_0, 0x1b7, 0x100020090
offcore_response.all_pf_data_rd.supplier_none.snoop_not_needed_1, 0x1bb, 0x100020090
offcore_response.all_pf_rfo.any_response_0, 0x1b7, 0x10120
offcore_response.all_pf_rfo.any_response_1, 0x1bb, 0x10120
offcore_response.all_pf_rfo.l3_hit.any_snoop_0, 0x1b7, 0x3f803c0120
offcore_response.all_pf_rfo.l3_hit.any_snoop_1, 0x1bb, 0x3f803c0120
offcore_response.all_pf_rfo.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_miss_0, 0x1b7, 0x2003c0120
