offcore_response.any_ifetch.llc_hit_other_core_hitm, 0x1b7, 0x444
offcore_response.any_ifetch.local_cache, 0x1b7, 0x744
offcore_response.any_ifetch.local_cache_dram, 0x1b7, 0x4744
offcore_response.any_ifetch.local_dram, 0x1b7, 0x4044
offcore_response.any_ifetch.remote_cache, 0x1b7, 0x1844
offcore_response.any_ifetch.remote_cache_dram, 0x1b7, 0x3844
offcore_response.any_ifetch.remote_cache_hit, 0x1b7, 0x1044
offcore_response.any_ifetch.remote_cache_hitm, 0x1b7, 0x844
offcore_response.any_ifetch.remote_dram, 0x1b7, 0x2044
offcore_response.any_request.any_cache_dram, 0x1b7, 0x7fff
offcore_response.any_request.any_dram, 0x1b7, 0x60ff
offcore_response.any_request.any_llc_miss, 0x1b7, 0xf8ff
offcore_response.any_request.any_location, 0x1b7, 0xffff
offcore_response.any_request.io_csr_mmio, 0x1b7, 0x80ff
offcore_response.any_request.llc_hit_no_other_core, 0x1b7, 0x1ff
offcore_response.any_request.llc_hit_other_core_hit, 0x1b7, 0x2ff
offcore_response.any_request.llc_hit_other_core_hitm, 0x1b7, 0x4ff
offcore_response.any_request.local_cache, 0x1b7, 0x7ff
offcore_response.any_request.local_cache_dram, 0x1b7, 0x47ff
offcore_response.any_request.local_dram, 0x1b7, 0x40ff
offcore_response.any_request.remote_cache, 0x1b7, 0x18ff
offcore_response.any_request.remote_cache_dram, 0x1b7, 0x38ff
offcore_response.any_request.remote_cache_hit, 0x1b7, 0x10ff
offcore_response.any_request.remote_cache_hitm, 0x1b7, 0x8ff
offcore_response.any_request.remote_dram, 0x1b7, 0x20ff
offcore_response.any_rfo.any_cache_dram, 0x1b7, 0x7f22
offcore_response.any_rfo.any_dram, 0x1b7, 0x6022
offcore_response.any_rfo.any_llc_miss, 0x1b7, 0xf822
offcore_response.any_rfo.any_location, 0x1b7, 0xff22
offcore_response.any_rfo.io_csr_mmio, 0x1b7, 0x8022
offcore_response.any_rfo.llc_hit_no_other_core, 0x1b7, 0x122
offcore_response.any_rfo.llc_hit_other_core_hit, 0x1b7, 0x222
offcore_response.any_rfo.llc_hit_other_core_hitm, 0x1b7, 0x422
offcore_response.any_rfo.local_cache, 0x1b7, 0x722
offcore_response.any_rfo.local_cache_dram, 0x1b7, 0x4722
offcore_response.any_rfo.local_dram, 0x1b7, 0x4022
offcore_response.any_rfo.remote_cache, 0x1b7, 0x1822
offcore_response.any_rfo.remote_cache_dram, 0x1b7, 0x3822
offcore_response.any_rfo.remote_cache_hit, 0x1b7, 0x1022
