arith.fpu_div, 0x414
offcore_response.pf_llc_data_rd.llc_hit.snoop_miss_0, 0x1b7, 0x2003c0080
offcore_response.pf_llc_data_rd.llc_hit.snoop_miss_1, 0x1bb, 0x2003c0080
offcore_response.pf_llc_data_rd.llc_miss.any_response_0, 0x1b7, 0x3fffc20080
offcore_response.pf_llc_data_rd.llc_miss.any_response_1, 0x1bb, 0x3fffc20080
offcore_response.split_lock_uc_lock.any_response_0, 0x1b7, 0x10400
offcore_response.split_lock_uc_lock.any_response_1, 0x1bb, 0x10400
offcore_response.streaming_stores.any_response_0, 0x1b7, 0x10800
offcore_response.streaming_stores.any_response_1, 0x1bb, 0x10800
other_assists.any_wb_assist, 0x80c1
other_assists.avx_store, 0x8c1
other_assists.avx_to_sse, 0x10c1
other_assists.sse_to_avx, 0x20c1
resource_stalls.any, 0x1a2
resource_stalls.rob, 0x10a2
resource_stalls.rs, 0x4a2
resource_stalls.sb, 0x8a2
rob_misc_events.lbr_inserts, 0x20cc
rs_events.empty_cycles, 0x15e
rs_events.empty_end, 0x15e
simd_fp_256.packed_double, 0x211
simd_fp_256.packed_single, 0x111
sq_misc.split_lock, 0x10f4
tlb_flush.dtlb_thread, 0x1bd
tlb_flush.stlb_any, 0x20bd
unc_c_counter0_occupancy, 0x1f
unc_c_llc_lookup.any, 0x1134
unc_c_llc_lookup.data_read, 0x334
unc_c_llc_lookup.nid, 0x4134
unc_c_llc_lookup.remote_snoop, 0x934
unc_c_llc_lookup.write, 0x534
unc_c_llc_victims.e_state, 0x237
unc_c_llc_victims.m_state, 0x137
unc_c_llc_victims.miss, 0x837
unc_c_llc_victims.nid, 0x4037
unc_c_llc_victims.s_state, 0x437
unc_c_misc.rfo_hit_s, 0x839
unc_c_misc.rspi_was_fse, 0x139
unc_c_misc.started, 0x439
unc_c_misc.wc_aliasing, 0x239
unc_c_qlru.age0, 0x13c
unc_c_qlru.age1, 0x23c
unc_c_qlru.age2, 0x43c
unc_c_qlru.age3, 0x83c
