machine_clears.memory_ordering, 0x2c3
unc_cha_imc_reads_count.normal, 0x159
unc_cha_imc_reads_count.priority, 0x259
unc_cha_imc_writes_count.full, 0x15b
unc_cha_imc_writes_count.full_priority, 0x45b
unc_cha_imc_writes_count.partial, 0x25b
unc_cha_imc_writes_count.partial_priority, 0x85b
unc_cha_llc_lookup.all, 0x1fffff34
unc_cha_llc_lookup.any_f, 0x34
unc_cha_llc_lookup.code, 0x1bd0ff34
unc_cha_llc_lookup.code_read, 0x1bd0ff34
unc_cha_llc_lookup.code_read_f, 0x34
unc_cha_llc_lookup.code_read_miss, 0x1bd00134
unc_cha_llc_lookup.corepref_or_dmnd_local_f, 0x34
unc_cha_llc_lookup.data_rd, 0x1bc1ff34
unc_cha_llc_lookup.data_read, 0x1bc1ff34
unc_cha_llc_lookup.data_read_all, 0x1fc1ff34
unc_cha_llc_lookup.data_read_f, 0x34
unc_cha_llc_lookup.data_read_miss, 0x1bc10134
unc_cha_llc_lookup.dmnd_read_local, 0x841ff34
unc_cha_llc_lookup.e, 0x2034
unc_cha_llc_lookup.f, 0x8034
unc_cha_llc_lookup.flush_inv, 0x1a44ff34
unc_cha_llc_lookup.flush_or_inv_f, 0x34
unc_cha_llc_lookup.i, 0x134
unc_cha_llc_lookup.local_f, 0x34
unc_cha_llc_lookup.m, 0x4034
unc_cha_llc_lookup.miss_all, 0x1fe00134
unc_cha_llc_lookup.other_req_f, 0x34
unc_cha_llc_lookup.read, 0x1bd9ff34
unc_cha_llc_lookup.read_local_loc_hom, 0x9d9ff34
unc_cha_llc_lookup.read_local_rem_hom, 0x11d9ff34
unc_cha_llc_lookup.read_miss, 0x1bd90134
unc_cha_llc_lookup.read_miss_loc_hom, 0xbd90134
unc_cha_llc_lookup.read_miss_rem_hom, 0x13d90134
unc_cha_llc_lookup.read_or_snoop_remote_miss_rem_hom, 0x16190134
unc_cha_llc_lookup.read_remote_loc_hom, 0xa19ff34
unc_cha_llc_lookup.read_sf_hit, 0x1bd90e34
unc_cha_llc_lookup.rfo, 0x1bc8ff34
unc_cha_llc_lookup.rfo_f, 0x34
