machine_clears.memory_ordering, 0x2c3
inst_retired.prec_dist, 0x1c0
int_misc.recovery_cycles, 0x30d
int_misc.recovery_cycles_any, 0x30d
int_misc.recovery_stalls_count, 0x30d
ld_blocks.no_sr, 0x803
ld_blocks.store_forward, 0x203
ld_blocks_partial.address_alias, 0x107
load_hit_pre.hw_pf, 0x24c
load_hit_pre.sw_pf, 0x14c
lsd.cycles_4_uops, 0x1a8
lsd.cycles_active, 0x1a8
lsd.uops, 0x1a8
machine_clears.count, 0x1c3
machine_clears.maskmov, 0x20c3
machine_clears.smc, 0x4c3
move_elimination.int_eliminated, 0x158
move_elimination.int_not_eliminated, 0x458
other_assists.any_wb_assist, 0x80c1
resource_stalls.any, 0x1a2
resource_stalls.rob, 0x10a2
resource_stalls.rs, 0x4a2
resource_stalls.sb, 0x8a2
rob_misc_events.lbr_inserts, 0x20cc
rs_events.empty_cycles, 0x15e
rs_events.empty_end, 0x15e
uops_dispatched_port.port_0, 0x1a1
uops_dispatched_port.port_0_core, 0x1a1
uops_dispatched_port.port_1, 0x2a1
uops_dispatched_port.port_1_core, 0x2a1
uops_dispatched_port.port_2, 0xca1
uops_dispatched_port.port_2_core, 0xca1
uops_dispatched_port.port_3, 0x30a1
uops_dispatched_port.port_3_core, 0x30a1
uops_dispatched_port.port_4, 0x40a1
uops_dispatched_port.port_4_core, 0x40a1
uops_dispatched_port.port_5, 0x80a1
uops_dispatched_port.port_5_core, 0x80a1
uops_executed.core, 0x2b1
uops_executed.core_cycles_ge_1, 0x2b1
uops_executed.core_cycles_ge_2, 0x2b1
uops_executed.core_cycles_ge_3, 0x2b1
uops_executed.core_cycles_ge_4, 0x2b1
uops_executed.core_cycles_none, 0x2b1
uops_executed.cycles_ge_1_uop_exec, 0x1b1
uops_executed.cycles_ge_2_uops_exec, 0x1b1
uops_executed.cycles_ge_3_uops_exec, 0x1b1
uops_executed.cycles_ge_4_uops_exec, 0x1b1
uops_executed.stall_cycles, 0x1b1
uops_executed.thread, 0x1b1
uops_issued.any, 0x10e
uops_issued.core_stall_cycles, 0x10e
uops_issued.flags_merge, 0x100e
uops_issued.single_mul, 0x400e
uops_issued.slow_lea, 0x200e
uops_issued.stall_cycles, 0x10e
uops_retired.all, 0x1c2
uops_retired.core_stall_cycles, 0x1c2
uops_retired.retire_slots, 0x2c2
uops_retired.stall_cycles, 0x1c2
uops_retired.total_cycles, 0x1c2
l1d.replacement, 0x151
l1d_pend_miss.fb_full, 0x248
l1d_pend_miss.pending, 0x148
l1d_pend_miss.pending_cycles, 0x148
l1d_pend_miss.pending_cycles_any, 0x148
l2_l1d_wb_rqsts.all, 0xf28
l2_l1d_wb_rqsts.hit_e, 0x428
l2_l1d_wb_rqsts.hit_m, 0x828
l2_l1d_wb_rqsts.miss, 0x128
l2_lines_in.all, 0x7f1
l2_lines_in.e, 0x4f1
l2_lines_in.i, 0x1f1
l2_lines_in.s, 0x2f1
l2_lines_out.demand_clean, 0x1f2
l2_lines_out.demand_dirty, 0x2f2
l2_lines_out.dirty_all, 0xaf2
l2_lines_out.pf_clean, 0x4f2
l2_lines_out.pf_dirty, 0x8f2
l2_rqsts.all_code_rd, 0x3024
l2_rqsts.all_demand_data_rd, 0x324
l2_rqsts.all_pf, 0xc024
l2_rqsts.all_rfo, 0xc24
l2_rqsts.code_rd_hit, 0x1024
l2_rqsts.code_rd_miss, 0x2024
l2_rqsts.demand_data_rd_hit, 0x124
l2_rqsts.pf_hit, 0x4024
l2_rqsts.pf_miss, 0x8024
l2_rqsts.rfo_hit, 0x424
l2_rqsts.rfo_miss, 0x824
l2_store_lock_rqsts.all, 0xf27
l2_store_lock_rqsts.hit_m, 0x827
l2_store_lock_rqsts.miss, 0x127
l2_trans.all_pf, 0x8f0
l2_trans.all_requests, 0x80f0
l2_trans.code_rd, 0x4f0
l2_trans.demand_data_rd, 0x1f0
l2_trans.l1d_wb, 0x10f0
l2_trans.l2_fill, 0x20f0
l2_trans.l2_wb, 0x40f0
l2_trans.rfo, 0x2f0
lock_cycles.cache_lock_duration, 0x263
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
mem_load_uops_llc_hit_retired.xsnp_hit, 0x2d2
mem_load_uops_llc_hit_retired.xsnp_hitm, 0x4d2
mem_load_uops_llc_hit_retired.xsnp_miss, 0x1d2
mem_load_uops_llc_hit_retired.xsnp_none, 0x8d2
mem_load_uops_llc_miss_retired.local_dram, 0x1d3
mem_load_uops_retired.hit_lfb, 0x40d1
mem_load_uops_retired.l1_hit, 0x1d1
mem_load_uops_retired.l1_miss, 0x8d1
mem_load_uops_retired.l2_hit, 0x2d1
mem_load_uops_retired.l2_miss, 0x10d1
mem_load_uops_retired.llc_hit, 0x4d1
mem_load_uops_retired.llc_miss, 0x20d1
mem_uops_retired.all_loads, 0x81d0
mem_uops_retired.all_stores, 0x82d0
mem_uops_retired.lock_loads, 0x21d0
mem_uops_retired.split_loads, 0x41d0
mem_uops_retired.split_stores, 0x42d0
mem_uops_retired.stlb_miss_loads, 0x11d0
mem_uops_retired.stlb_miss_stores, 0x12d0
offcore_requests.all_data_rd, 0x8b0
offcore_requests.demand_code_rd, 0x2b0
offcore_requests.demand_data_rd, 0x1b0
offcore_requests.demand_rfo, 0x4b0
offcore_requests_buffer.sq_full, 0x1b2
offcore_requests_outstanding.all_data_rd, 0x860
offcore_requests_outstanding.cycles_with_data_rd, 0x860
offcore_requests_outstanding.cycles_with_demand_code_rd, 0x260
offcore_requests_outstanding.cycles_with_demand_data_rd, 0x160
offcore_requests_outstanding.cycles_with_demand_rfo, 0x460
offcore_requests_outstanding.demand_code_rd, 0x260
offcore_requests_outstanding.demand_data_rd, 0x160
offcore_requests_outstanding.demand_data_rd_ge_6, 0x160
offcore_requests_outstanding.demand_rfo, 0x460
offcore_response.all_code_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0244
offcore_response.all_code_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0244
offcore_response.all_code_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0244
offcore_response.all_code_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0244
offcore_response.all_data_rd.any_response_0, 0x1b7, 0x105b3
offcore_response.all_data_rd.any_response_1, 0x1bb, 0x105b3
offcore_response.all_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0091
offcore_response.all_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0091
offcore_response.all_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0091
offcore_response.all_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0091
offcore_response.all_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0091
offcore_response.all_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0091
offcore_response.all_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0091
offcore_response.all_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0091
offcore_response.all_reads.any_response_0, 0x1b7, 0x107f7
offcore_response.all_reads.any_response_1, 0x1bb, 0x107f7
offcore_response.all_rfo.any_response_0, 0x1b7, 0x10122
offcore_response.all_rfo.any_response_1, 0x1bb, 0x10122
offcore_response.all_rfo.llc_hit.any_response_0, 0x1b7, 0x3f803c0122
offcore_response.all_rfo.llc_hit.any_response_1, 0x1bb, 0x3f803c0122
offcore_response.all_rfo.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0122
offcore_response.all_rfo.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0122
offcore_response.corewb.any_response_0, 0x1b7, 0x10008
offcore_response.corewb.any_response_1, 0x1bb, 0x10008
offcore_response.demand_code_rd.any_response_0, 0x1b7, 0x10004
offcore_response.demand_code_rd.any_response_1, 0x1bb, 0x10004
offcore_response.demand_code_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0004
offcore_response.demand_code_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0004
offcore_response.demand_code_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0004
offcore_response.demand_code_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0004
offcore_response.demand_data_rd.any_response_0, 0x1b7, 0x10001
offcore_response.demand_data_rd.any_response_1, 0x1bb, 0x10001
offcore_response.demand_data_rd.llc_hit.any_response_0, 0x1b7, 0x3f803c0001
offcore_response.demand_data_rd.llc_hit.any_response_1, 0x1bb, 0x3f803c0001
offcore_response.demand_data_rd.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0001
offcore_response.demand_data_rd.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0001
offcore_response.demand_data_rd.llc_hit.hit_other_core_no_fwd_0, 0x1b7, 0x4003c0001
offcore_response.demand_data_rd.llc_hit.hit_other_core_no_fwd_1, 0x1bb, 0x4003c0001
offcore_response.demand_data_rd.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0001
offcore_response.demand_data_rd.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0001
offcore_response.demand_rfo.any_response_0, 0x1b7, 0x10002
offcore_response.demand_rfo.any_response_1, 0x1bb, 0x10002
offcore_response.demand_rfo.llc_hit.any_response_0, 0x1b7, 0x3f803c0002
offcore_response.demand_rfo.llc_hit.any_response_1, 0x1bb, 0x3f803c0002
offcore_response.demand_rfo.llc_hit.hitm_other_core_0, 0x1b7, 0x10003c0002
offcore_response.demand_rfo.llc_hit.hitm_other_core_1, 0x1bb, 0x10003c0002
offcore_response.demand_rfo.llc_hit.no_snoop_needed_0, 0x1b7, 0x1003c0002
offcore_response.demand_rfo.llc_hit.no_snoop_needed_1, 0x1bb, 0x1003c0002
offcore_response.other.any_response_0, 0x1b7, 0x18000
offcore_response.other.any_response_1, 0x1bb, 0x18000
offcore_response.split_lock_uc_lock.any_response_0, 0x1b7, 0x10400
offcore_response.split_lock_uc_lock.any_response_1, 0x1bb, 0x10400
offcore_response.streaming_stores.any_response_0, 0x1b7, 0x10800
offcore_response.streaming_stores.any_response_1, 0x1bb, 0x10800
sq_misc.split_lock, 0x10f4
