UNC_ARB_TRK_OCCUPANCY.RD, 0x280
UNC_ARB_TRK_REQUESTS.ALL, 0x181
UNC_ARB_TRK_REQUESTS.RD, 0x281
ARITH.DIVIDER_ACTIVE, 0x9b0
ARITH.DIV_ACTIVE, 0x3cd
ARITH.DIV_ACTIVE, 0x9b0
ARITH.DIV_OCCUPANCY, 0x3cd
ARITH.DIV_UOPS, 0xccd
ARITH.FP_DIVIDER_ACTIVE, 0x1b0
ARITH.IDIV_ACTIVE, 0x1cd
ARITH.IDIV_ACTIVE, 0x8b0
ARITH.IDIV_OCCUPANCY, 0x1cd
ARITH.IDIV_UOPS, 0x4cd
ARITH.INT_DIVIDER_ACTIVE, 0x8b0
ASSISTS.ANY, 0x1bc1
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.CALL, 0xf9c4
BR_INST_RETIRED.COND, 0x7ec4
BR_INST_RETIRED.COND, 0x11c4
BR_INST_RETIRED.COND_NTAKEN, 0x10c4
BR_INST_RETIRED.COND_TAKEN, 0xfec4
BR_INST_RETIRED.COND_TAKEN, 0x1c4
BR_INST_RETIRED.FAR_BRANCH, 0xbfc4
BR_INST_RETIRED.FAR_BRANCH, 0x40c4
BR_INST_RETIRED.INDIRECT, 0xebc4
BR_INST_RETIRED.INDIRECT, 0x80c4
BR_INST_RETIRED.INDIRECT_CALL, 0xfbc4
BR_INST_RETIRED.IND_CALL, 0xfbc4
BR_INST_RETIRED.JCC, 0x7ec4
BR_INST_RETIRED.NEAR_CALL, 0xf9c4
BR_INST_RETIRED.NEAR_CALL, 0x2c4
BR_INST_RETIRED.NEAR_RETURN, 0xf7c4
BR_INST_RETIRED.NEAR_RETURN, 0x8c4
BR_INST_RETIRED.NEAR_TAKEN, 0xc0c4
BR_INST_RETIRED.NEAR_TAKEN, 0x20c4
BR_INST_RETIRED.NON_RETURN_IND, 0xebc4
BR_INST_RETIRED.REL_CALL, 0xfdc4
BR_INST_RETIRED.RETURN, 0xf7c4
BR_INST_RETIRED.TAKEN_JCC, 0xfec4
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.COND, 0x7ec5
BR_MISP_RETIRED.COND, 0x11c5
BR_MISP_RETIRED.COND_NTAKEN, 0x10c5
BR_MISP_RETIRED.COND_TAKEN, 0xfec5
BR_MISP_RETIRED.COND_TAKEN, 0x1c5
BR_MISP_RETIRED.INDIRECT, 0xebc5
BR_MISP_RETIRED.INDIRECT, 0x80c5
BR_MISP_RETIRED.INDIRECT_CALL, 0xfbc5
