CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_THREAD_UNHALTED.REF_XCLK, 0x13c
CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY, 0x13c
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_UNHALTED.REF_XCLK, 0x13c
CPU_CLK_UNHALTED.REF_XCLK_ANY, 0x13c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CPU_CLK_UNHALTED.THREAD_P_ANY, 0x3c
CYCLE_ACTIVITY.CYCLES_L1D_PENDING, 0x2a3
CYCLE_ACTIVITY.CYCLES_L2_PENDING, 0x1a3
CYCLE_ACTIVITY.CYCLES_NO_DISPATCH, 0x4a3
CYCLE_ACTIVITY.STALLS_L1D_PENDING, 0x6a3
CYCLE_ACTIVITY.STALLS_L2_PENDING, 0x5a3
ILD_STALL.IQ_FULL, 0x487
ILD_STALL.LCP, 0x187
INST_RETIRED.ANY_P, 0xc0
INST_RETIRED.PREC_DIST, 0x1c0
INT_MISC.RAT_STALL_CYCLES, 0x400d
INT_MISC.RECOVERY_CYCLES, 0x30d
INT_MISC.RECOVERY_CYCLES_ANY, 0x30d
INT_MISC.RECOVERY_STALLS_COUNT, 0x30d
LD_BLOCKS.ALL_BLOCK, 0x1003
LD_BLOCKS.DATA_UNKNOWN, 0x103
LD_BLOCKS.NO_SR, 0x803
LD_BLOCKS.STORE_FORWARD, 0x203
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS, 0x107
LD_BLOCKS_PARTIAL.ALL_STA_BLOCK, 0x807
LOAD_HIT_PRE.HW_PF, 0x24c
LOAD_HIT_PRE.SW_PF, 0x14c
LSD.CYCLES_4_UOPS, 0x1a8
LSD.CYCLES_ACTIVE, 0x1a8
LSD.UOPS, 0x1a8
MACHINE_CLEARS.COUNT, 0x1c3
MACHINE_CLEARS.MASKMOV, 0x20c3
MACHINE_CLEARS.SMC, 0x4c3
OTHER_ASSISTS.ITLB_MISS_RETIRED, 0x2c1
PARTIAL_RAT_STALLS.FLAGS_MERGE_UOP, 0x2059
PARTIAL_RAT_STALLS.FLAGS_MERGE_UOP_CYCLES, 0x2059
PARTIAL_RAT_STALLS.MUL_SINGLE_UOP, 0x8059
PARTIAL_RAT_STALLS.SLOW_LEA_WINDOW, 0x4059
RESOURCE_STALLS.ANY, 0x1a2
RESOURCE_STALLS.LB, 0x2a2
RESOURCE_STALLS.LB_SB, 0xaa2
RESOURCE_STALLS.MEM_RS, 0xea2
RESOURCE_STALLS.OOO_RSRC, 0xf0a2
RESOURCE_STALLS.ROB, 0x10a2
RESOURCE_STALLS.RS, 0x4a2
RESOURCE_STALLS.SB, 0x8a2
RESOURCE_STALLS2.ALL_FL_EMPTY, 0xc5b
RESOURCE_STALLS2.ALL_PRF_CONTROL, 0xf5b
RESOURCE_STALLS2.BOB_FULL, 0x405b
RESOURCE_STALLS2.OOO_RSRC, 0x4f5b
ROB_MISC_EVENTS.LBR_INSERTS, 0x20cc
RS_EVENTS.EMPTY_CYCLES, 0x15e
RS_EVENTS.EMPTY_END, 0x15e
UOPS_DISPATCHED.CORE, 0x2b1
UOPS_DISPATCHED.THREAD, 0x1b1
UOPS_DISPATCHED_PORT.PORT_0, 0x1a1
UOPS_DISPATCHED_PORT.PORT_0_CORE, 0x1a1
UOPS_DISPATCHED_PORT.PORT_1, 0x2a1
UOPS_DISPATCHED_PORT.PORT_1_CORE, 0x2a1
UOPS_DISPATCHED_PORT.PORT_2, 0xca1
UOPS_DISPATCHED_PORT.PORT_2_CORE, 0xca1
UOPS_DISPATCHED_PORT.PORT_3, 0x30a1
UOPS_DISPATCHED_PORT.PORT_3_CORE, 0x30a1
UOPS_DISPATCHED_PORT.PORT_4, 0x40a1
UOPS_DISPATCHED_PORT.PORT_4_CORE, 0x40a1
UOPS_DISPATCHED_PORT.PORT_5, 0x80a1
UOPS_DISPATCHED_PORT.PORT_5_CORE, 0x80a1
UOPS_EXECUTED.CORE_CYCLES_GE_1, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_2, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_3, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_4, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_NONE, 0x2b1
UOPS_ISSUED.ANY, 0x10e
UOPS_ISSUED.CORE_STALL_CYCLES, 0x10e
UOPS_ISSUED.STALL_CYCLES, 0x10e
UOPS_RETIRED.ALL, 0x1c2
UOPS_RETIRED.CORE_STALL_CYCLES, 0x1c2
UOPS_RETIRED.RETIRE_SLOTS, 0x2c2
UOPS_RETIRED.STALL_CYCLES, 0x1c2
UOPS_RETIRED.TOTAL_CYCLES, 0x1c2
L1D.ALLOCATED_IN_M, 0x251
L1D.ALL_M_REPLACEMENT, 0x851
L1D.EVICTION, 0x451
L1D.REPLACEMENT, 0x151
L1D_BLOCKS.BANK_CONFLICT_CYCLES, 0x5bf
L1D_PEND_MISS.FB_FULL, 0x248
L1D_PEND_MISS.PENDING, 0x148
L1D_PEND_MISS.PENDING_CYCLES, 0x148
L1D_PEND_MISS.PENDING_CYCLES_ANY, 0x148
L2_L1D_WB_RQSTS.ALL, 0xf28
L2_L1D_WB_RQSTS.HIT_E, 0x428
L2_L1D_WB_RQSTS.HIT_M, 0x828
L2_L1D_WB_RQSTS.HIT_S, 0x228
L2_L1D_WB_RQSTS.MISS, 0x128
L2_LINES_IN.ALL, 0x7f1
L2_LINES_IN.E, 0x4f1
L2_LINES_IN.I, 0x1f1
L2_LINES_IN.S, 0x2f1
L2_LINES_OUT.DEMAND_CLEAN, 0x1f2
L2_LINES_OUT.DEMAND_DIRTY, 0x2f2
L2_LINES_OUT.DIRTY_ALL, 0xaf2
L2_LINES_OUT.PF_CLEAN, 0x4f2
L2_LINES_OUT.PF_DIRTY, 0x8f2
L2_RQSTS.ALL_CODE_RD, 0x3024
L2_RQSTS.ALL_DEMAND_DATA_RD, 0x324
L2_RQSTS.ALL_PF, 0xc024
L2_RQSTS.ALL_RFO, 0xc24
L2_RQSTS.CODE_RD_HIT, 0x1024
L2_RQSTS.CODE_RD_MISS, 0x2024
L2_RQSTS.DEMAND_DATA_RD_HIT, 0x124
L2_RQSTS.PF_HIT, 0x4024
L2_RQSTS.PF_MISS, 0x8024
L2_RQSTS.RFO_HIT, 0x424
L2_RQSTS.RFO_MISS, 0x824
L2_STORE_LOCK_RQSTS.ALL, 0xf27
L2_STORE_LOCK_RQSTS.HIT_E, 0x427
L2_STORE_LOCK_RQSTS.HIT_M, 0x827
L2_STORE_LOCK_RQSTS.MISS, 0x127
L2_TRANS.ALL_PF, 0x8f0
L2_TRANS.ALL_REQUESTS, 0x80f0
L2_TRANS.CODE_RD, 0x4f0
L2_TRANS.DEMAND_DATA_RD, 0x1f0
L2_TRANS.L1D_WB, 0x10f0
L2_TRANS.L2_FILL, 0x20f0
L2_TRANS.L2_WB, 0x40f0
L2_TRANS.RFO, 0x2f0
LOCK_CYCLES.CACHE_LOCK_DURATION, 0x263
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HIT, 0x2d2
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM, 0x4d2
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_MISS, 0x1d2
MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_NONE, 0x8d2
MEM_LOAD_UOPS_MISC_RETIRED.LLC_MISS, 0x2d4
MEM_LOAD_UOPS_RETIRED.HIT_LFB, 0x40d1
MEM_LOAD_UOPS_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_UOPS_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_UOPS_RETIRED.LLC_HIT, 0x4d1
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
MEM_UOPS_RETIRED.LOCK_LOADS, 0x21d0
MEM_UOPS_RETIRED.SPLIT_LOADS, 0x41d0
MEM_UOPS_RETIRED.SPLIT_STORES, 0x42d0
MEM_UOPS_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_UOPS_RETIRED.STLB_MISS_STORES, 0x12d0
OFFCORE_REQUESTS.ALL_DATA_RD, 0x8b0
OFFCORE_REQUESTS.DEMAND_CODE_RD, 0x2b0
OFFCORE_REQUESTS.DEMAND_DATA_RD, 0x1b0
OFFCORE_REQUESTS.DEMAND_RFO, 0x4b0
OFFCORE_REQUESTS_BUFFER.SQ_FULL, 0x1b2
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD, 0x860
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD, 0x860
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD, 0x160
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO, 0x460
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD, 0x160
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD_C6, 0x160
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO, 0x460
SQ_MISC.SPLIT_LOCK, 0x10f4
