OFFCORE_RESPONSE.PF_L2_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_HIT, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.PF_L2_RFO.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
OFFCORE_RESPONSE.STREAMING_STORES.L2_HIT, 0x1b7
OFFCORE_RESPONSE.STREAMING_STORES.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.SW_PREFETCH.L2_HIT, 0x1b7
OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.ANY, 0x1b7
OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.HITM_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.HIT_OTHER_CORE_NO_FWD, 0x1b7
OFFCORE_RESPONSE.SW_PREFETCH.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED, 0x1b7
