UNC_CHA_TOR_INSERTS.IA_MISS_CRD_PREF_REMOTE, 0xc88f7e0135
UNC_CHA_TOR_INSERTS.IA_MISS_CRD_REMOTE, 0xc80f7e0135
UNC_CHA_TOR_INSERTS.IA_MISS_CXL_ACC, 0x10c001820135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD, 0xc817fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRDPTE, 0xc837fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_CXL_ACC, 0x10c817820135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_DDR, 0xc817860135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_LOCAL, 0xc816fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_LOCAL_DDR, 0xc816860135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_LOCAL_PMM, 0xc8168a0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PMM, 0xc8178a0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF, 0xc897fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_CXL_ACC, 0x10c897820135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_DDR, 0xc897860135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_LOCAL, 0xc896fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_LOCAL_DDR, 0xc896860135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_LOCAL_PMM, 0xc8968a0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_PMM, 0xc8978a0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_REMOTE, 0xc8977e0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_REMOTE_DDR, 0xc897060135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_PREF_REMOTE_PMM, 0xc8970a0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_REMOTE, 0xc8177e0135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_REMOTE_DDR, 0xc817060135
UNC_CHA_TOR_INSERTS.IA_MISS_DRD_REMOTE_PMM, 0xc8170a0135
UNC_CHA_TOR_INSERTS.IA_MISS_ITOM, 0xcc47fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_LLCPREFCODE, 0xcccffe0135
UNC_CHA_TOR_INSERTS.IA_MISS_LLCPREFDATA, 0xccd7fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_LLCPREFDATA_CXL_ACC, 0x10ccd7820135
UNC_CHA_TOR_INSERTS.IA_MISS_LLCPREFRFO, 0xccc7fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_LLCPREFRFO_CXL_ACC, 0x10c887820135
UNC_CHA_TOR_INSERTS.IA_MISS_LOCAL_WCILF_DDR, 0xc866860135
UNC_CHA_TOR_INSERTS.IA_MISS_LOCAL_WCILF_PMM, 0xc8668a0135
UNC_CHA_TOR_INSERTS.IA_MISS_LOCAL_WCIL_DDR, 0xc86e860135
