LD_HEAD.ANY, 0x7f05
BUS_LOCK.LOCK_CYCLES, 0x263
BUS_LOCK.NON_SPLIT_LOCKS, 0x463
BUS_LOCK.SPLIT_LOCKS, 0x863
DYNAMIC_PREFETCH_THROTTLER.LEVEL0_SOC, 0x132
DYNAMIC_PREFETCH_THROTTLER.LEVEL1_SOC, 0x232
DYNAMIC_PREFETCH_THROTTLER.LEVEL2_SOC, 0x432
DYNAMIC_PREFETCH_THROTTLER.LEVEL3_SOC, 0x832
DYNAMIC_PREFETCH_THROTTLER.LEVEL4_SOC, 0x1032
OCR.ALL_REQUESTS.ANY_RESPONSE, 0x1b7
OCR.FULL_STREAMING_WR.ANY_RESPONSE, 0x1b7
OCR.PARTIAL_STREAMING_WR.ANY_RESPONSE, 0x1b7
OCR.STREAMING_WR.ANY_RESPONSE, 0x1b7
XQ.FULL, 0x12d
XQ_PROMOTION.ALL, 0xf4
XQ_PROMOTION.CRDS, 0x4f4
XQ_PROMOTION.DRDS, 0x1f4
XQ_PROMOTION.RFOS, 0x2f4
BACLEARS.ANY, 0x1e6
BACLEARS.ANY, 0x160
BACLEARS.COND, 0x10e6
BACLEARS.INDIRECT, 0x2e6
BACLEARS.RETURN, 0x8e6
BACLEARS.UNCOND, 0x4e6
DECODE.LCP, 0x187
DECODE.MS_BUSY, 0x287
DECODE_RESTRICTION.PREDECODE_WRONG, 0x1e9
DSB2MITE_SWITCHES.PENALTY_CYCLES, 0x261
FRONTEND_RETIRED.ALL, 0xc6
FRONTEND_RETIRED.ANY_ANT, 0x3c6
FRONTEND_RETIRED.ANY_DSB_MISS, 0x3c6
FRONTEND_RETIRED.BRANCH_DETECT, 0x2c6
FRONTEND_RETIRED.BRANCH_RESTEER, 0x40c6
FRONTEND_RETIRED.CISC, 0x1c6
FRONTEND_RETIRED.DECODE, 0x8c6
FRONTEND_RETIRED.DSB_MISS, 0x3c6
FRONTEND_RETIRED.ICACHE, 0x20c6
FRONTEND_RETIRED.ITLB_MISS, 0x10c6
FRONTEND_RETIRED.ITLB_MISS, 0x3c6
FRONTEND_RETIRED.L1I_MISS, 0x3c6
FRONTEND_RETIRED.L2_MISS, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_128, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_16, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_2, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_256, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_2_BUBBLES_GE_1, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_32, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_4, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_512, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_64, 0x3c6
FRONTEND_RETIRED.LATENCY_GE_8, 0x3c6
FRONTEND_RETIRED.MISP_ANT, 0x2c6
FRONTEND_RETIRED.MS_FLOWS, 0x3c6
FRONTEND_RETIRED.OTHER, 0x80c6
FRONTEND_RETIRED.PREDECODE, 0x4c6
FRONTEND_RETIRED.STLB_MISS, 0x3c6
FRONTEND_RETIRED.UNKNOWN_BRANCH, 0x3c6
FRONTEND_RETIRED_SOURCE.ICACHE_L2_HIT, 0x1c9
FRONTEND_RETIRED_SOURCE.ITLB_STLB_HIT, 0x10c9
FRONTEND_RETIRED_SOURCE.ITLB_STLB_MISS, 0x20c9
ICACHE.ACCESSES, 0x380
ICACHE.HIT, 0x180
ICACHE.MISSES, 0x280
ICACHE_DATA.STALLS, 0x480
ICACHE_DATA.STALL_PERIODS, 0x480
ICACHE_TAG.STALLS, 0x483
IDQ.DSB_CYCLES_ANY, 0x879
IDQ.DSB_CYCLES_OK, 0x879
IDQ.DSB_UOPS, 0x879
IDQ.MITE_CYCLES_ANY, 0x479
IDQ.MITE_CYCLES_OK, 0x479
IDQ.MITE_UOPS, 0x479
IDQ.MS_CYCLES_ANY, 0x2079
IDQ.MS_SWITCHES, 0x2079
IDQ.MS_UOPS, 0x2079
IDQ_BUBBLES.CORE, 0x19c
IDQ_BUBBLES.CYCLES_0_UOPS_DELIV.CORE, 0x19c
IDQ_BUBBLES.CYCLES_FE_WAS_OK, 0x19c
IDQ_BUBBLES.FETCH_LATENCY, 0x49c
IDQ_BUBBLES.STARVATION_CYCLES, 0x19c
MS_DECODED.MS_BUSY, 0x4e7
MS_DECODED.MS_ENTRY, 0x1e7
MS_DECODED.NANO_CODE, 0x2e7
ARITH.DIV_ACTIVE, 0x3cd
ARITH.DIV_ACTIVE, 0x9b0
ARITH.DIV_OCCUPANCY, 0x3cd
ARITH.DIV_UOPS, 0xccd
ARITH.IDIV_ACTIVE, 0x1cd
ARITH.IDIV_ACTIVE, 0x8b0
ARITH.IDIV_OCCUPANCY, 0x1cd
ARITH.IDIV_UOPS, 0x4cd
ASSISTS.ANY, 0x1fc1
BE_STALLS.SCOREBOARD, 0x2a2
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.COND, 0x7ec4
BR_INST_RETIRED.COND, 0x111c4
BR_INST_RETIRED.COND_NTAKEN, 0x7fc4
BR_INST_RETIRED.COND_NTAKEN, 0x10c4
BR_INST_RETIRED.COND_TAKEN, 0xfec4
BR_INST_RETIRED.COND_TAKEN, 0x101c4
BR_INST_RETIRED.COND_TAKEN_BWD, 0x1c4
BR_INST_RETIRED.COND_TAKEN_FWD, 0x102c4
BR_INST_RETIRED.FAR_BRANCH, 0xbfc4
BR_INST_RETIRED.FAR_BRANCH, 0x40c4
BR_INST_RETIRED.INDIRECT, 0xebc4
BR_INST_RETIRED.INDIRECT, 0x80c4
BR_INST_RETIRED.INDIRECT_CALL, 0xfbc4
BR_INST_RETIRED.INDIRECT_JMP, 0xefc4
BR_INST_RETIRED.NEAR_CALL, 0xf9c4
BR_INST_RETIRED.NEAR_CALL, 0x2c4
BR_INST_RETIRED.NEAR_RETURN, 0xf7c4
BR_INST_RETIRED.NEAR_RETURN, 0x8c4
BR_INST_RETIRED.NEAR_TAKEN, 0xc0c4
BR_INST_RETIRED.NEAR_TAKEN, 0x20c4
BR_INST_RETIRED.REL_CALL, 0xfdc4
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.ALL_BRANCHES_COST, 0x44c5
BR_MISP_RETIRED.COND, 0x7ec5
BR_MISP_RETIRED.COND, 0x111c5
BR_MISP_RETIRED.COND_COST, 0x151c5
BR_MISP_RETIRED.COND_NTAKEN, 0x7fc5
BR_MISP_RETIRED.COND_NTAKEN, 0x10c5
BR_MISP_RETIRED.COND_NTAKEN_COST, 0x50c5
BR_MISP_RETIRED.COND_TAKEN, 0xfec5
BR_MISP_RETIRED.COND_TAKEN, 0x101c5
BR_MISP_RETIRED.COND_TAKEN_BWD, 0x1c5
BR_MISP_RETIRED.COND_TAKEN_BWD_COST, 0x8001c5
BR_MISP_RETIRED.COND_TAKEN_COST, 0x141c5
BR_MISP_RETIRED.COND_TAKEN_FWD, 0xc5
BR_MISP_RETIRED.COND_TAKEN_FWD_COST, 0x8002c5
BR_MISP_RETIRED.INDIRECT, 0xebc5
BR_MISP_RETIRED.INDIRECT, 0x80c5
BR_MISP_RETIRED.INDIRECT_CALL, 0xfbc5
BR_MISP_RETIRED.INDIRECT_CALL, 0x2c5
BR_MISP_RETIRED.INDIRECT_CALL_COST, 0x42c5
BR_MISP_RETIRED.INDIRECT_COST, 0xc0c5
BR_MISP_RETIRED.INDIRECT_JMP, 0xefc5
BR_MISP_RETIRED.NEAR_TAKEN, 0x80c5
BR_MISP_RETIRED.NEAR_TAKEN, 0x20c5
BR_MISP_RETIRED.NEAR_TAKEN_COST, 0x60c5
BR_MISP_RETIRED.RET, 0x8c5
BR_MISP_RETIRED.RETURN, 0xf7c5
BR_MISP_RETIRED.RET_COST, 0x48c5
BTCLEAR.ANY, 0xe8
CPU_CLK_UNHALTED.C01, 0x10ec
CPU_CLK_UNHALTED.C02, 0x20ec
CPU_CLK_UNHALTED.C0_WAIT, 0x70ec
CPU_CLK_UNHALTED.CORE_P, 0x3c
CPU_CLK_UNHALTED.CORE_P, 0x3c
CPU_CLK_UNHALTED.PAUSE, 0x40ec
CPU_CLK_UNHALTED.PAUSE_INST, 0x40ec
CPU_CLK_UNHALTED.REF_TSC_P, 0x13c
CPU_CLK_UNHALTED.REF_TSC_P, 0x13c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CYCLE_ACTIVITY.CYCLES_MEM_ANY, 0x10a3
CYCLE_ACTIVITY.STALLS_TOTAL, 0x4a3
DEPENDENT_LOADS.ANY, 0x702
EXE_ACTIVITY.1_PORTS_UTIL, 0x2a6
EXE_ACTIVITY.2_3_PORTS_UTIL, 0xca6
EXE_ACTIVITY.2_PORTS_UTIL, 0x4a6
EXE_ACTIVITY.3_PORTS_UTIL, 0x8a6
EXE_ACTIVITY.4_PORTS_UTIL, 0x10a6
EXE_ACTIVITY.BOUND_ON_LOADS, 0x21a6
EXE_ACTIVITY.BOUND_ON_STORES, 0x40a6
EXE_ACTIVITY.EXE_BOUND_0_PORTS, 0x80a6
INST_DECODED.DECODERS, 0x175
INST_RETIRED.ANY_P, 0xc0
INST_RETIRED.ANY_P, 0xc0
