cycle_activity.stalls_l3_miss, 0x6a3
unc_cha_llc_lookup.local_data_rd, 0x19c1ff34
unc_cha_llc_lookup.local_dmnd_code, 0x1850ff34
unc_cha_llc_lookup.local_dmnd_data_rd, 0x1841ff34
unc_cha_llc_lookup.local_dmnd_rfo, 0x1848ff34
unc_cha_llc_lookup.local_f, 0x34
unc_cha_llc_lookup.local_flush_inv, 0x1844ff34
unc_cha_llc_lookup.local_llc_pf, 0x189dff34
unc_cha_llc_lookup.local_pf, 0x199dff34
unc_cha_llc_lookup.local_pf_code, 0x1910ff34
unc_cha_llc_lookup.local_pf_data_rd, 0x1981ff34
unc_cha_llc_lookup.local_pf_rfo, 0x1908ff34
unc_cha_llc_lookup.local_rfo, 0x19c8ff34
unc_cha_llc_lookup.m, 0x4034
unc_cha_llc_lookup.miss_all, 0x1fe00134
unc_cha_llc_lookup.other_req_f, 0x34
unc_cha_llc_lookup.pref_or_dmnd_remote_f, 0x34
unc_cha_llc_lookup.remotely_homed_address, 0x15dfff34
unc_cha_llc_lookup.remote_code, 0x1a10ff34
unc_cha_llc_lookup.remote_data_rd, 0x1a01ff34
unc_cha_llc_lookup.remote_f, 0x34
unc_cha_llc_lookup.remote_flush_inv, 0x1a04ff34
unc_cha_llc_lookup.remote_other, 0x1a02ff34
unc_cha_llc_lookup.remote_rfo, 0x1a08ff34
unc_cha_llc_lookup.remote_snoop_f, 0x34
unc_cha_llc_lookup.remote_snp, 0x1c19ff34
unc_cha_llc_lookup.rfo, 0x1bc8ff34
unc_cha_llc_lookup.rfo_f, 0x34
unc_cha_llc_lookup.rfo_local, 0x9c8ff34
unc_cha_llc_lookup.s, 0x1034
unc_cha_llc_lookup.sf_e, 0x434
unc_cha_llc_lookup.sf_h, 0x834
unc_cha_llc_lookup.sf_s, 0x234
unc_cha_llc_lookup.write_local, 0x842ff34
unc_cha_llc_lookup.write_remote, 0x17c2ff34
unc_cha_llc_victims.e_state, 0x237
unc_cha_llc_victims.ia, 0x2037
unc_cha_llc_victims.io, 0x1037
unc_cha_llc_victims.io_e, 0x1237
unc_cha_llc_victims.io_fs, 0x1c37
unc_cha_llc_victims.io_m, 0x1137
unc_cha_llc_victims.io_mesf, 0x1f37
unc_cha_llc_victims.local_all, 0x200f37
unc_cha_llc_victims.local_e, 0x200237
unc_cha_llc_victims.local_m, 0x200137
unc_cha_llc_victims.local_only, 0x37
unc_cha_llc_victims.local_s, 0x200437
unc_cha_llc_victims.m_state, 0x137
unc_cha_llc_victims.remote_all, 0x800f37
unc_cha_llc_victims.remote_e, 0x800237
unc_cha_llc_victims.remote_m, 0x800137
unc_cha_llc_victims.remote_only, 0x37
unc_cha_llc_victims.remote_s, 0x800437
unc_cha_llc_victims.s_state, 0x437
unc_cha_llc_victims.total_e, 0x237
unc_cha_llc_victims.total_m, 0x137
unc_cha_llc_victims.total_s, 0x437
unc_cha_misc.cv0_pref_miss, 0x2039
unc_cha_misc.cv0_pref_vic, 0x1039
unc_cha_misc.rfo_hit_s, 0x839
unc_cha_misc.rspi_was_fse, 0x139
unc_cha_misc.wc_aliasing, 0x239
unc_cha_osb.local_invitoe, 0x155
unc_cha_osb.local_read, 0x255
unc_cha_osb.off_pwrheuristic, 0x2055
unc_cha_osb.remote_read, 0x455
unc_cha_osb.remote_readinvitoe, 0x855
unc_cha_osb.rfo_hits_snp_bcast, 0x1055
unc_cha_pmm_memmode_nm_invitox.local, 0x165
unc_cha_pmm_memmode_nm_invitox.remote, 0x265
unc_cha_pmm_memmode_nm_invitox.setconflict, 0x465
unc_cha_pmm_memmode_nm_setconflicts.llc, 0x264
unc_cha_pmm_memmode_nm_setconflicts.sf, 0x164
unc_cha_pmm_memmode_nm_setconflicts.tor, 0x464
unc_cha_pmm_memmode_nm_setconflicts2.iodc, 0x170
unc_cha_pmm_memmode_nm_setconflicts2.memwr, 0x270
unc_cha_pmm_memmode_nm_setconflicts2.memwrni, 0x470
unc_cha_pmm_qos.ddr4_fast_insert, 0x266
unc_cha_pmm_qos.rej_irq, 0x866
unc_cha_pmm_qos.slowtorq_skip, 0x4066
unc_cha_pmm_qos.slow_insert, 0x166
unc_cha_pmm_qos.throttle, 0x466
unc_cha_pmm_qos.throttle_irq, 0x2066
unc_cha_pmm_qos.throttle_prq, 0x1066
unc_cha_pmm_qos_occupancy.ddr_fast_fifo, 0x267
unc_cha_pmm_qos_occupancy.ddr_slow_fifo, 0x167
unc_cha_read_no_credits.mc0, 0x158
unc_cha_read_no_credits.mc1, 0x258
unc_cha_read_no_credits.mc2, 0x458
unc_cha_read_no_credits.mc3, 0x858
unc_cha_read_no_credits.mc4, 0x1058
unc_cha_read_no_credits.mc5, 0x2058
unc_cha_requests.invitoe, 0x3050
unc_cha_requests.invitoe_local, 0x1050
unc_cha_requests.invitoe_remote, 0x2050
unc_cha_requests.reads, 0x350
unc_cha_requests.reads_local, 0x150
unc_cha_requests.reads_remote, 0x250
unc_cha_requests.writes, 0xc50
unc_cha_requests.writes_local, 0x450
unc_cha_requests.writes_remote, 0x850
unc_cha_rxc_inserts.ipq, 0x413
unc_cha_rxc_inserts.irq, 0x113
unc_cha_rxc_inserts.irq_rej, 0x213
unc_cha_rxc_inserts.prq, 0x1013
unc_cha_rxc_inserts.prq_rej, 0x2013
unc_cha_rxc_inserts.rrq, 0x4013
unc_cha_rxc_inserts.wbq, 0x8013
unc_cha_rxc_ipq0_reject.ad_req_vn0, 0x122
unc_cha_rxc_ipq0_reject.ad_rsp_vn0, 0x222
unc_cha_rxc_ipq0_reject.ak_non_upi, 0x4022
unc_cha_rxc_ipq0_reject.bl_ncb_vn0, 0x1022
unc_cha_rxc_ipq0_reject.bl_ncs_vn0, 0x2022
unc_cha_rxc_ipq0_reject.bl_rsp_vn0, 0x422
unc_cha_rxc_ipq0_reject.bl_wb_vn0, 0x822
unc_cha_rxc_ipq0_reject.iv_non_upi, 0x8022
unc_cha_rxc_ipq1_reject.allow_snp, 0x4023
unc_cha_rxc_ipq1_reject.any0, 0x123
unc_cha_rxc_ipq1_reject.ha, 0x223
unc_cha_rxc_ipq1_reject.llc_or_sf_way, 0x2023
unc_cha_rxc_ipq1_reject.llc_victim, 0x423
unc_cha_rxc_ipq1_reject.pa_match, 0x8023
unc_cha_rxc_ipq1_reject.sf_victim, 0x823
unc_cha_rxc_ipq1_reject.victim, 0x1023
unc_cha_rxc_irq0_reject.ad_req_vn0, 0x118
unc_cha_rxc_irq0_reject.ad_rsp_vn0, 0x218
unc_cha_rxc_irq0_reject.ak_non_upi, 0x4018
unc_cha_rxc_irq0_reject.bl_ncb_vn0, 0x1018
unc_cha_rxc_irq0_reject.bl_ncs_vn0, 0x2018
unc_cha_rxc_irq0_reject.bl_rsp_vn0, 0x418
unc_cha_rxc_irq0_reject.bl_wb_vn0, 0x818
unc_cha_rxc_irq0_reject.iv_non_upi, 0x8018
unc_cha_rxc_irq1_reject.allow_snp, 0x4019
unc_cha_rxc_irq1_reject.any0, 0x119
unc_cha_rxc_irq1_reject.ha, 0x219
