HLE_RETIRED.ABORTED, 0x4c8
UNC_CBO_XSNP_RESPONSE.HIT_EXTERNAL, 0x2422
UNC_CBO_XSNP_RESPONSE.HIT_XCORE, 0x4422
UNC_CBO_XSNP_RESPONSE.MISS_EVICTION, 0x8122
UNC_CBO_XSNP_RESPONSE.MISS_EXTERNAL, 0x2122
UNC_CBO_XSNP_RESPONSE.MISS_XCORE, 0x4122
UNC_CLOCK.SOCKET, 0xff
CPL_CYCLES.RING0, 0x15c
CPL_CYCLES.RING0_TRANS, 0x15c
CPL_CYCLES.RING123, 0x25c
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION, 0x163
BACLEARS.ANY, 0x1fe6
DSB2MITE_SWITCHES.PENALTY_CYCLES, 0x2ab
ICACHE.HIT, 0x180
ICACHE.IFDATA_STALL, 0x480
ICACHE.IFETCH_STALL, 0x480
ICACHE.MISSES, 0x280
IDQ.ALL_DSB_CYCLES_4_UOPS, 0x1879
IDQ.ALL_DSB_CYCLES_ANY_UOPS, 0x1879
IDQ.ALL_MITE_CYCLES_4_UOPS, 0x2479
IDQ.ALL_MITE_CYCLES_ANY_UOPS, 0x2479
IDQ.DSB_CYCLES, 0x879
IDQ.DSB_UOPS, 0x879
IDQ.EMPTY, 0x279
IDQ.MITE_ALL_UOPS, 0x3c79
IDQ.MITE_CYCLES, 0x479
IDQ.MITE_UOPS, 0x479
IDQ.MS_CYCLES, 0x3079
IDQ.MS_DSB_CYCLES, 0x1079
IDQ.MS_DSB_OCCUR, 0x1079
IDQ.MS_DSB_UOPS, 0x1079
IDQ.MS_MITE_UOPS, 0x2079
IDQ.MS_SWITCHES, 0x3079
IDQ.MS_UOPS, 0x3079
IDQ_UOPS_NOT_DELIVERED.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_FE_WAS_OK, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_1_UOP_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_2_UOP_DELIV.CORE, 0x19c
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_3_UOP_DELIV.CORE, 0x19c
UNC_ARB_COH_TRK_OCCUPANCY.All, 0x183
UNC_ARB_COH_TRK_REQUESTS.ALL, 0x184
UNC_ARB_TRK_OCCUPANCY.ALL, 0x180
UNC_ARB_TRK_OCCUPANCY.CYCLES_WITH_ANY_REQUEST, 0x180
UNC_ARB_TRK_REQUESTS.ALL, 0x181
UNC_ARB_TRK_REQUESTS.WRITES, 0x2081
ARITH.DIVIDER_UOPS, 0x214
BR_INST_EXEC.ALL_BRANCHES, 0xff88
BR_INST_EXEC.ALL_CONDITIONAL, 0xc188
BR_INST_EXEC.ALL_DIRECT_JMP, 0xc288
BR_INST_EXEC.ALL_DIRECT_NEAR_CALL, 0xd088
BR_INST_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET, 0xc488
BR_INST_EXEC.ALL_INDIRECT_NEAR_RETURN, 0xc888
BR_INST_EXEC.NONTAKEN_CONDITIONAL, 0x4188
BR_INST_EXEC.TAKEN_CONDITIONAL, 0x8188
BR_INST_EXEC.TAKEN_DIRECT_JUMP, 0x8288
BR_INST_EXEC.TAKEN_DIRECT_NEAR_CALL, 0x9088
BR_INST_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET, 0x8488
BR_INST_EXEC.TAKEN_INDIRECT_NEAR_CALL, 0xa088
BR_INST_EXEC.TAKEN_INDIRECT_NEAR_RETURN, 0x8888
BR_INST_RETIRED.ALL_BRANCHES, 0xc4
BR_INST_RETIRED.ALL_BRANCHES_PEBS, 0x4c4
BR_INST_RETIRED.CONDITIONAL, 0x1c4
BR_INST_RETIRED.FAR_BRANCH, 0x40c4
BR_INST_RETIRED.NEAR_CALL, 0x2c4
BR_INST_RETIRED.NEAR_CALL_R3, 0x2c4
BR_INST_RETIRED.NEAR_RETURN, 0x8c4
BR_INST_RETIRED.NEAR_TAKEN, 0x20c4
BR_INST_RETIRED.NOT_TAKEN, 0x10c4
BR_MISP_EXEC.ALL_BRANCHES, 0xff89
BR_MISP_EXEC.ALL_CONDITIONAL, 0xc189
BR_MISP_EXEC.ALL_INDIRECT_JUMP_NON_CALL_RET, 0xc489
BR_MISP_EXEC.INDIRECT, 0xe489
BR_MISP_EXEC.NONTAKEN_CONDITIONAL, 0x4189
BR_MISP_EXEC.TAKEN_CONDITIONAL, 0x8189
BR_MISP_EXEC.TAKEN_INDIRECT_JUMP_NON_CALL_RET, 0x8489
BR_MISP_EXEC.TAKEN_INDIRECT_NEAR_CALL, 0xa089
BR_MISP_EXEC.TAKEN_RETURN_NEAR, 0x8889
BR_MISP_RETIRED.ALL_BRANCHES, 0xc5
BR_MISP_RETIRED.ALL_BRANCHES_PEBS, 0x4c5
BR_MISP_RETIRED.CONDITIONAL, 0x1c5
BR_MISP_RETIRED.NEAR_TAKEN, 0x20c5
CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_THREAD_UNHALTED.REF_XCLK, 0x13c
CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY, 0x13c
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_UNHALTED.REF_XCLK, 0x13c
CPU_CLK_UNHALTED.REF_XCLK_ANY, 0x13c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CPU_CLK_UNHALTED.THREAD_P_ANY, 0x3c
CYCLE_ACTIVITY.CYCLES_L1D_PENDING, 0x8a3
CYCLE_ACTIVITY.CYCLES_L2_PENDING, 0x1a3
CYCLE_ACTIVITY.CYCLES_LDM_PENDING, 0x2a3
CYCLE_ACTIVITY.CYCLES_NO_EXECUTE, 0x4a3
CYCLE_ACTIVITY.STALLS_L1D_PENDING, 0xca3
CYCLE_ACTIVITY.STALLS_L2_PENDING, 0x5a3
CYCLE_ACTIVITY.STALLS_LDM_PENDING, 0x6a3
ILD_STALL.IQ_FULL, 0x487
ILD_STALL.LCP, 0x187
INST_RETIRED.ANY_P, 0xc0
INST_RETIRED.PREC_DIST, 0x1c0
INST_RETIRED.X87, 0x2c0
INT_MISC.RECOVERY_CYCLES, 0x30d
INT_MISC.RECOVERY_CYCLES_ANY, 0x30d
LD_BLOCKS.NO_SR, 0x803
LD_BLOCKS.STORE_FORWARD, 0x203
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS, 0x107
LOAD_HIT_PRE.HW_PF, 0x24c
LOAD_HIT_PRE.SW_PF, 0x14c
LSD.CYCLES_4_UOPS, 0x1a8
LSD.CYCLES_ACTIVE, 0x1a8
LSD.UOPS, 0x1a8
MACHINE_CLEARS.COUNT, 0x1c3
MACHINE_CLEARS.CYCLES, 0x1c3
MACHINE_CLEARS.MASKMOV, 0x20c3
MACHINE_CLEARS.SMC, 0x4c3
MOVE_ELIMINATION.INT_ELIMINATED, 0x158
MOVE_ELIMINATION.INT_NOT_ELIMINATED, 0x458
OTHER_ASSISTS.ANY_WB_ASSIST, 0x40c1
