umc_mem_clk, 0x0
packed_int_op_type.int256_mov, 0xa00d
packed_int_op_type.int256_shuffle, 0xb00d
packed_int_op_type.int256_pack, 0xc00d
packed_int_op_type.int256_logical, 0xd00d
packed_int_op_type.int256_other, 0xe00d
packed_int_op_type.int256_all, 0xf00d
packed_int_op_type.all, 0xff0d
fp_disp_faults.x87_fill_fault, 0x10e
fp_disp_faults.xmm_fill_fault, 0x20e
fp_disp_faults.ymm_fill_fault, 0x40e
fp_disp_faults.ymm_spill_fault, 0x80e
fp_disp_faults.sse_avx_all, 0xe0e
fp_disp_faults.all, 0xf0e
resyncs_or_nc_redirects, 0x96
de_op_queue_empty, 0xa9
de_src_op_disp.decoder, 0x1aa
de_src_op_disp.op_cache, 0x2aa
de_src_op_disp.loop_buffer, 0x4aa
de_src_op_disp.all, 0x7aa
de_dis_ops_from_decoder.any_fp_dispatch, 0x4ab
de_dis_ops_from_decoder.disp_op_type.any_integer_dispatch, 0x8ab
de_dis_dispatch_token_stalls1.int_phy_reg_file_rsrc_stall, 0x1ae
de_dis_dispatch_token_stalls1.load_queue_rsrc_stall, 0x2ae
de_dis_dispatch_token_stalls1.store_queue_rsrc_stall, 0x4ae
de_dis_dispatch_token_stalls1.taken_brnch_buffer_rsrc, 0x10ae
de_dis_dispatch_token_stalls1.fp_reg_file_rsrc_stall, 0x20ae
de_dis_dispatch_token_stalls1.fp_sch_rsrc_stall, 0x40ae
de_dis_dispatch_token_stalls1.fp_flush_recovery_stall, 0x80ae
de_dis_dispatch_token_stalls2.int_sch0_token_stall, 0x1af
de_dis_dispatch_token_stalls2.int_sch1_token_stall, 0x2af
de_dis_dispatch_token_stalls2.int_sch2_token_stall, 0x4af
de_dis_dispatch_token_stalls2.int_sch3_token_stall, 0x8af
de_dis_dispatch_token_stalls2.retire_token_stall, 0x20af
local_processor_read_data_beats_cs0, 0x7fe1f
local_processor_read_data_beats_cs1, 0x7fe5f
local_processor_read_data_beats_cs2, 0x7fe9f
local_processor_read_data_beats_cs3, 0x7fedf
local_processor_write_data_beats_cs0, 0x7ff1f
local_processor_write_data_beats_cs1, 0x7ff5f
local_processor_write_data_beats_cs2, 0x7ff9f
local_processor_write_data_beats_cs3, 0x7ffdf
remote_processor_read_data_beats_cs0, 0xbfe1f
remote_processor_read_data_beats_cs1, 0xbfe5f
remote_processor_read_data_beats_cs2, 0xbfe9f
remote_processor_read_data_beats_cs3, 0xbfedf
remote_processor_write_data_beats_cs0, 0xbff1f
remote_processor_write_data_beats_cs1, 0xbff5f
remote_processor_write_data_beats_cs2, 0xbff9f
remote_processor_write_data_beats_cs3, 0xbffdf
bp_l2_btb_correct, 0x8b
bp_dyn_ind_pred, 0x8e
bp_de_redirect, 0x91
ex_ret_brn, 0xc2
ex_ret_brn_misp, 0xc3
ex_ret_brn_tkn, 0xc4
ex_ret_brn_tkn_misp, 0xc5
ex_ret_brn_far, 0xc6
ex_ret_near_ret, 0xc8
ex_ret_near_ret_mispred, 0xc9
ex_ret_brn_ind_misp, 0xca
ex_ret_ind_brch_instr, 0xcc
ex_ret_cond, 0xd1
ls_mab_alloc.load_store_allocations, 0x3f41
ls_mab_alloc.hardware_prefetcher_allocations, 0x4041
ls_mab_alloc.all_allocations, 0x7f41
ls_dmnd_fills_from_sys.local_l2, 0x143
ls_dmnd_fills_from_sys.local_ccx, 0x243
ls_dmnd_fills_from_sys.near_cache, 0x443
ls_dmnd_fills_from_sys.dram_io_near, 0x843
ls_dmnd_fills_from_sys.far_cache, 0x1043
ls_dmnd_fills_from_sys.dram_io_far, 0x4043
ls_dmnd_fills_from_sys.alternate_memories, 0x8043
ls_dmnd_fills_from_sys.all, 0xff43
ls_any_fills_from_sys.local_l2, 0x144
ls_any_fills_from_sys.local_ccx, 0x244
ls_any_fills_from_sys.local_all, 0x344
ls_any_fills_from_sys.near_cache, 0x444
ls_any_fills_from_sys.dram_io_near, 0x844
ls_any_fills_from_sys.far_cache, 0x1044
ls_any_fills_from_sys.remote_cache, 0x1444
ls_any_fills_from_sys.dram_io_far, 0x4044
ls_any_fills_from_sys.dram_io_all, 0x4844
ls_any_fills_from_sys.far_all, 0x5044
ls_any_fills_from_sys.all_dram_io, 0x4844
ls_any_fills_from_sys.alternate_memories, 0x8044
ls_any_fills_from_sys.all, 0xff44
ls_pref_instr_disp.prefetch, 0x14b
ls_pref_instr_disp.prefetch_w, 0x24b
ls_pref_instr_disp.prefetch_nta, 0x44b
ls_pref_instr_disp.all, 0x74b
ls_inef_sw_pref.data_pipe_sw_pf_dc_hit, 0x152
ls_inef_sw_pref.mab_mch_cnt, 0x252
ls_inef_sw_pref.all, 0x352
ls_sw_pf_dc_fills.local_l2, 0x159
ls_sw_pf_dc_fills.local_ccx, 0x259
ls_sw_pf_dc_fills.near_cache, 0x459
ls_sw_pf_dc_fills.dram_io_near, 0x859
ls_sw_pf_dc_fills.far_cache, 0x1059
ls_sw_pf_dc_fills.dram_io_far, 0x4059
ls_sw_pf_dc_fills.alternate_memories, 0x8059
ls_sw_pf_dc_fills.all, 0xdf59
ls_hw_pf_dc_fills.local_l2, 0x15a
ls_hw_pf_dc_fills.local_ccx, 0x25a
ls_hw_pf_dc_fills.near_cache, 0x45a
ls_hw_pf_dc_fills.dram_io_near, 0x85a
ls_hw_pf_dc_fills.far_cache, 0x105a
ls_hw_pf_dc_fills.dram_io_far, 0x405a
ls_hw_pf_dc_fills.alternate_memories, 0x805a
ls_hw_pf_dc_fills.all, 0xdf5a
ls_alloc_mab_count, 0x5f
l2_request_g1.group2, 0x160
l2_request_g1.l2_hw_pf, 0x260
l2_request_g1.prefetch_l2_cmd, 0x460
l2_request_g1.change_to_x, 0x860
l2_request_g1.cacheable_ic_read, 0x1060
l2_request_g1.ls_rd_blk_c_s, 0x2060
l2_request_g1.rd_blk_x, 0x4060
l2_request_g1.rd_blk_l, 0x8060
l2_request_g1.all_dc, 0xe860
l2_request_g1.all_no_prefetch, 0xf960
l2_request_g1.all, 0xff60
l2_cache_req_stat.ic_fill_miss, 0x164
l2_cache_req_stat.ic_fill_hit_s, 0x264
l2_cache_req_stat.ic_fill_hit_x, 0x464
l2_cache_req_stat.ic_hit_in_l2, 0x664
l2_cache_req_stat.ic_access_in_l2, 0x764
l2_cache_req_stat.ls_rd_blk_c, 0x864
l2_cache_req_stat.ic_dc_miss_in_l2, 0x964
l2_cache_req_stat.ls_rd_blk_x, 0x1064
l2_cache_req_stat.ls_rd_blk_l_hit_s, 0x2064
l2_cache_req_stat.ls_rd_blk_l_hit_x, 0x4064
l2_cache_req_stat.ls_rd_blk_cs, 0x8064
l2_cache_req_stat.dc_hit_in_l2, 0xf064
l2_cache_req_stat.ic_dc_hit_in_l2, 0xf664
l2_cache_req_stat.dc_access_in_l2, 0xf864
l2_cache_req_stat.all, 0xff64
l2_pf_hit_l2.l2_stream, 0x170
l2_pf_hit_l2.l2_next_line, 0x270
l2_pf_hit_l2.l2_up_down, 0x470
l2_pf_hit_l2.l2_burst, 0x870
l2_pf_hit_l2.l2_stride, 0x1070
l2_pf_hit_l2.l1_stream, 0x2070
l2_pf_hit_l2.l1_stride, 0x4070
l2_pf_hit_l2.l1_region, 0x8070
l2_pf_hit_l2.all, 0xff70
l2_pf_miss_l2_hit_l3.l2_stream, 0x171
l2_pf_miss_l2_hit_l3.l2_next_line, 0x271
l2_pf_miss_l2_hit_l3.l2_up_down, 0x471
l2_pf_miss_l2_hit_l3.l2_burst, 0x871
l2_pf_miss_l2_hit_l3.l2_stride, 0x1071
l2_pf_miss_l2_hit_l3.l1_stream, 0x2071
l2_pf_miss_l2_hit_l3.l1_stride, 0x4071
l2_pf_miss_l2_hit_l3.l1_region, 0x8071
l2_pf_miss_l2_hit_l3.all, 0xff71
l2_pf_miss_l2_l3.l2_stream, 0x172
l2_pf_miss_l2_l3.l2_next_line, 0x272
l2_pf_miss_l2_l3.l2_up_down, 0x472
l2_pf_miss_l2_l3.l2_burst, 0x872
l2_pf_miss_l2_l3.l2_stride, 0x1072
l2_pf_miss_l2_l3.l1_stream, 0x2072
l2_pf_miss_l2_l3.l1_stride, 0x4072
l2_pf_miss_l2_l3.l1_region, 0x8072
l2_pf_miss_l2_l3.all, 0xff72
ic_cache_fill_l2, 0x82
ic_cache_fill_sys, 0x83
l3_lookup_state.l3_miss, 0x104
l3_lookup_state.l3_hit, 0xfe04
l3_lookup_state.all_coherent_accesses_to_l3, 0xff04
l3_xi_sampled_latency.dram_near, 0x1ac
l3_xi_sampled_latency.dram_far, 0x2ac
l3_xi_sampled_latency.near_cache, 0x4ac
l3_xi_sampled_latency.far_cache, 0x8ac
l3_xi_sampled_latency.ext_near, 0x10ac
l3_xi_sampled_latency.ext_far, 0x20ac
l3_xi_sampled_latency.all, 0x3fac
l3_xi_sampled_latency_requests.dram_near, 0x1ad
l3_xi_sampled_latency_requests.dram_far, 0x2ad
l3_xi_sampled_latency_requests.near_cache, 0x4ad
l3_xi_sampled_latency_requests.far_cache, 0x8ad
l3_xi_sampled_latency_requests.ext_near, 0x10ad
l3_xi_sampled_latency_requests.ext_far, 0x20ad
l3_xi_sampled_latency_requests.all, 0x3fad
ls_locks.bus_lock, 0x125
ls_ret_cl_flush, 0x26
ls_ret_cpuid, 0x27
ls_smi_rx, 0x2b
ls_int_taken, 0x2c
ls_not_halted_cyc, 0x76
ex_ret_instr, 0xc0
ex_ret_ops, 0xc1
ex_div_busy, 0xd3
ex_div_count, 0xd4
ex_no_retire.empty, 0x1d6
ex_no_retire.not_complete, 0x2d6
ex_no_retire.other, 0x8d6
ex_no_retire.thread_not_selected, 0x10d6
ex_no_retire.load_not_complete, 0xa2d6
ex_no_retire.all, 0x1bd6
