L2_REQUEST.ALL, 0xff24
L2_REQUEST.HIT, 0x224
L2_REQUEST.HIT, 0xdf24
L2_REQUEST.MISS, 0x124
L2_REQUEST.MISS, 0x3f24
L2_REQUEST.REJECTS, 0x424
L2_RQSTS.ALL_CODE_RD, 0xe424
L2_RQSTS.ALL_DEMAND_DATA_RD, 0xe124
L2_RQSTS.ALL_DEMAND_MISS, 0x2724
L2_RQSTS.ALL_DEMAND_REFERENCES, 0xe724
L2_RQSTS.ALL_HWPF, 0xf024
L2_RQSTS.ALL_RFO, 0xe224
L2_RQSTS.CODE_RD_HIT, 0xc424
L2_RQSTS.CODE_RD_MISS, 0x2424
L2_RQSTS.DEMAND_DATA_RD_HIT, 0xc124
L2_RQSTS.DEMAND_DATA_RD_MISS, 0x2124
L2_RQSTS.HIT, 0xdf24
L2_RQSTS.HWPF_MISS, 0x3024
L2_RQSTS.MISS, 0x3f24
L2_RQSTS.REFERENCES, 0xff24
L2_RQSTS.RFO_HIT, 0xc224
L2_RQSTS.RFO_MISS, 0x2224
L2_RQSTS.SWPF_HIT, 0xc824
L2_RQSTS.SWPF_MISS, 0x2824
L2_TRANS.L2_WB, 0x4023
LOCK_CYCLES.CACHE_LOCK_DURATION, 0x242
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_BOUND_STALLS_IFETCH.ALL, 0x7f35
MEM_BOUND_STALLS_IFETCH.L2_HIT, 0x135
MEM_BOUND_STALLS_IFETCH.L2_MISS, 0x7e35
MEM_BOUND_STALLS_IFETCH.LLC_HIT, 0x635
MEM_BOUND_STALLS_IFETCH.LLC_MISS, 0x7835
MEM_BOUND_STALLS_LOAD.ALL, 0x7f34
MEM_BOUND_STALLS_LOAD.L2_HIT, 0x134
MEM_BOUND_STALLS_LOAD.L2_MISS, 0x7e34
MEM_BOUND_STALLS_LOAD.LLC_HIT, 0x634
MEM_BOUND_STALLS_LOAD.LLC_MISS, 0x7834
MEM_BOUND_STALLS_LOAD.SBFULL, 0x8034
MEM_INST_RETIRED.ALL_LOADS, 0x81d0
MEM_INST_RETIRED.ALL_STORES, 0x82d0
MEM_INST_RETIRED.ANY, 0x83d0
MEM_INST_RETIRED.LOCK_LOADS, 0x21d0
MEM_INST_RETIRED.SPLIT_LOADS, 0x41d0
MEM_INST_RETIRED.SPLIT_STORES, 0x42d0
MEM_INST_RETIRED.STLB_HIT_LOADS, 0x9d0
MEM_INST_RETIRED.STLB_HIT_STORES, 0xad0
MEM_INST_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_INST_RETIRED.STLB_MISS_STORES, 0x12d0
MEM_LOAD_COMPLETED.L1_MISS_ANY, 0xfd43
MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD, 0x4d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS, 0x1d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_NONE, 0x8d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD, 0x2d2
MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM, 0x1d3
MEM_LOAD_MISC_RETIRED.UC, 0x4d4
MEM_LOAD_RETIRED.FB_HIT, 0x40d1
MEM_LOAD_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_RETIRED.L3_HIT, 0x4d1
MEM_LOAD_RETIRED.L3_MISS, 0x20d1
MEM_LOAD_UOPS_MISC_RETIRED.LOCAL_DRAM, 0x2d4
MEM_LOAD_UOPS_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_UOPS_RETIRED.L1_MISS, 0x40d1
MEM_LOAD_UOPS_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_UOPS_RETIRED.L2_MISS, 0x80d1
MEM_LOAD_UOPS_RETIRED.L3_HIT, 0x1cd1
MEM_LOAD_UOPS_RETIRED.WCB_HIT, 0x20d1
MEM_SCHEDULER_BLOCK.ALL, 0x704
MEM_SCHEDULER_BLOCK.LD_BUF, 0x204
MEM_SCHEDULER_BLOCK.RSV, 0x404
MEM_SCHEDULER_BLOCK.ST_BUF, 0x104
MEM_STORE_RETIRED.L2_HIT, 0x144
MEM_UOPS_RETIRED.ALL_LOADS, 0x81d0
MEM_UOPS_RETIRED.ALL_STORES, 0x82d0
