machine_clears.memory_ordering, 0x2c3
unc_r3_rxr_cycles_ne.ncb, 0x1010
unc_r3_rxr_cycles_ne.ncs, 0x2010
unc_r3_rxr_cycles_ne.ndr, 0x410
unc_r3_rxr_cycles_ne.snp, 0x210
unc_r3_rxr_inserts.drs, 0x811
unc_r3_rxr_inserts.hom, 0x111
unc_r3_rxr_inserts.ncb, 0x1011
unc_r3_rxr_inserts.ncs, 0x2011
unc_r3_rxr_inserts.ndr, 0x411
unc_r3_rxr_inserts.snp, 0x211
unc_r3_rxr_occupancy.drs, 0x813
unc_r3_rxr_occupancy.hom, 0x113
unc_r3_rxr_occupancy.ncb, 0x1013
unc_r3_rxr_occupancy.ncs, 0x2013
unc_r3_rxr_occupancy.ndr, 0x413
unc_r3_rxr_occupancy.snp, 0x213
unc_r3_vn0_credits_reject.drs, 0x837
unc_r3_vn0_credits_reject.hom, 0x137
unc_r3_vn0_credits_reject.ncb, 0x1037
unc_r3_vn0_credits_reject.ncs, 0x2037
unc_r3_vn0_credits_reject.ndr, 0x437
unc_r3_vn0_credits_reject.snp, 0x237
unc_r3_vn0_credits_used.drs, 0x836
unc_r3_vn0_credits_used.hom, 0x136
unc_r3_vn0_credits_used.ncb, 0x1036
unc_r3_vn0_credits_used.ncs, 0x2036
unc_r3_vn0_credits_used.ndr, 0x436
unc_r3_vn0_credits_used.snp, 0x236
unc_r3_vna_credits_acquired, 0x33
unc_r3_vna_credits_reject.drs, 0x834
unc_r3_vna_credits_reject.hom, 0x134
unc_r3_vna_credits_reject.ncb, 0x1034
unc_r3_vna_credits_reject.ncs, 0x2034
unc_r3_vna_credits_reject.ndr, 0x434
unc_r3_vna_credits_reject.snp, 0x234
unc_r3_vna_credit_cycles_out, 0x31
unc_r3_vna_credit_cycles_used, 0x32
unc_u_event_msg.doorbell_rcvd, 0x842
unc_u_event_msg.int_prio, 0x1042
unc_u_event_msg.ipi_rcvd, 0x442
unc_u_event_msg.msi_rcvd, 0x242
unc_u_event_msg.vlw_rcvd, 0x142
unc_u_filter_match.disable, 0x241
unc_u_filter_match.enable, 0x141
unc_u_filter_match.u2c_disable, 0x841
unc_u_filter_match.u2c_enable, 0x441
unc_u_lock_cycles, 0x44
unc_u_msg_chnl_size_count.4b, 0x147
unc_u_msg_chnl_size_count.8b, 0x247
unc_u_phold_cycles.ack_to_deassert, 0x245
unc_u_phold_cycles.assert_to_ack, 0x145
unc_u_racu_requests.count, 0x146
unc_u_u2c_events.cmc, 0x1043
unc_u_u2c_events.livelock, 0x443
unc_u_u2c_events.lterror, 0x843
unc_u_u2c_events.monitor_t0, 0x143
unc_u_u2c_events.monitor_t1, 0x243
unc_u_u2c_events.other, 0x8043
unc_u_u2c_events.trap, 0x4043
unc_u_u2c_events.umc, 0x2043
agu_bypass_cancel.count, 0x1b6
arith.fpu_div, 0x114
arith.fpu_div_active, 0x114
br_inst_exec.all_branches, 0xff88
br_inst_exec.all_conditional, 0xc188
br_inst_exec.all_direct_jmp, 0xc288
br_inst_exec.all_direct_near_call, 0xd088
br_inst_exec.all_indirect_jump_non_call_ret, 0xc488
br_inst_exec.all_indirect_near_return, 0xc888
br_inst_exec.nontaken_conditional, 0x4188
br_inst_exec.taken_conditional, 0x8188
br_inst_exec.taken_direct_jump, 0x8288
br_inst_exec.taken_direct_near_call, 0x9088
