hle_retired.aborted, 0x4c8
unc_p_pkg_residency_c2e_cycles, 0x2b
unc_p_pkg_residency_c3_cycles, 0x2c
unc_p_pkg_residency_c6_cycles, 0x2d
unc_p_pkg_residency_c7_cycles, 0x2e
unc_p_power_state_occupancy.cores_c0, 0x80
unc_p_power_state_occupancy.cores_c3, 0x80
unc_p_power_state_occupancy.cores_c6, 0x80
unc_p_prochot_external_cycles, 0xa
unc_p_prochot_internal_cycles, 0x9
unc_p_total_transition_cycles, 0x72
unc_p_ufs_transitions_ring_gv, 0x79
unc_p_vr_hot_cycles, 0x42
llc_misses.code_llc_prefetch, 0x335
llc_misses.data_llc_prefetch, 0x335
llc_misses.data_read, 0x335
llc_misses.mmio_read, 0x335
llc_misses.mmio_write, 0x335
llc_misses.pcie_non_snoop_write, 0x335
llc_misses.pcie_read, 0x335
llc_misses.pcie_write, 0x335
llc_misses.rfo_llc_prefetch, 0x335
llc_misses.uncacheable, 0x335
llc_references.code_llc_prefetch, 0x135
llc_references.pcie_ns_partial_write, 0x135
llc_references.pcie_read, 0x135
llc_references.pcie_write, 0x135
llc_references.streaming_full, 0x135
llc_references.streaming_partial, 0x135
unc_c_bounce_control, 0xa
unc_c_counter0_occupancy, 0x1f
unc_c_fast_asserted, 0x9
unc_c_llc_lookup.any, 0x1134
unc_c_llc_lookup.data_read, 0x334
unc_c_llc_lookup.nid, 0x4134
unc_c_llc_lookup.read, 0x2134
unc_c_llc_lookup.remote_snoop, 0x934
unc_c_llc_lookup.write, 0x534
unc_c_llc_victims.e_state, 0x237
unc_c_llc_victims.f_state, 0x837
unc_c_llc_victims.i_state, 0x437
unc_c_llc_victims.miss, 0x1037
unc_c_llc_victims.m_state, 0x137
unc_c_llc_victims.nid, 0x4037
unc_c_misc.cvzero_prefetch_miss, 0x2039
unc_c_misc.cvzero_prefetch_victim, 0x1039
unc_c_misc.rfo_hit_s, 0x839
unc_c_misc.rspi_was_fse, 0x139
unc_c_misc.started, 0x439
unc_c_misc.wc_aliasing, 0x239
unc_c_qlru.age0, 0x13c
unc_c_qlru.age1, 0x23c
unc_c_qlru.age2, 0x43c
unc_c_qlru.age3, 0x83c
unc_c_qlru.lru_decrement, 0x103c
unc_c_qlru.victim_non_zero, 0x203c
unc_c_ring_ad_used.all, 0xf1b
unc_c_ring_ad_used.down, 0xc1b
unc_c_ring_ad_used.down_even, 0x41b
unc_c_ring_ad_used.down_odd, 0x81b
unc_c_ring_ad_used.up, 0x31b
unc_c_ring_ad_used.up_even, 0x11b
unc_c_ring_ad_used.up_odd, 0x21b
unc_c_ring_ak_used.all, 0xf1c
unc_c_ring_ak_used.down, 0xc1c
unc_c_ring_ak_used.down_even, 0x41c
unc_c_ring_ak_used.down_odd, 0x81c
unc_c_ring_ak_used.up, 0x31c
unc_c_ring_ak_used.up_even, 0x11c
unc_c_ring_ak_used.up_odd, 0x21c
unc_c_ring_bl_used.all, 0xf1d
unc_c_ring_bl_used.down, 0xc1d
unc_c_ring_bl_used.down_even, 0x41d
unc_c_ring_bl_used.down_odd, 0x81d
unc_c_ring_bl_used.up, 0x31d
unc_c_ring_bl_used.up_even, 0x11d
unc_c_ring_bl_used.up_odd, 0x21d
unc_c_ring_bounces.ad, 0x105
unc_c_ring_bounces.ak, 0x205
unc_c_ring_bounces.bl, 0x405
unc_c_ring_bounces.iv, 0x1005
unc_c_ring_iv_used.any, 0xf1e
unc_c_ring_iv_used.dn, 0xc1e
unc_c_ring_iv_used.down, 0xcc1e
unc_c_ring_iv_used.up, 0x31e
unc_c_ring_sink_starved.ad, 0x106
unc_c_ring_sink_starved.ak, 0x206
unc_c_ring_sink_starved.bl, 0x406
unc_c_ring_sink_starved.iv, 0x806
unc_c_ring_src_thrtl, 0x7
unc_c_rxr_ext_starved.ipq, 0x212
unc_c_rxr_ext_starved.irq, 0x112
unc_c_rxr_ext_starved.ismq_bids, 0x812
unc_c_rxr_ext_starved.prq, 0x412
unc_c_rxr_inserts.ipq, 0x413
unc_c_rxr_inserts.irq, 0x113
unc_c_rxr_inserts.irq_rej, 0x213
unc_c_rxr_inserts.prq, 0x1013
unc_c_rxr_inserts.prq_rej, 0x2013
unc_c_rxr_int_starved.ipq, 0x414
unc_c_rxr_int_starved.irq, 0x114
