UNC_CHA_TOR_OCCUPANCY.CXL_HIT_WIL, 0x78c87ffd2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_CLFLUSH, 0x78c8c7fe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_FSRDCUR, 0x78c8effe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_FSRDCURPTL, 0x78c9effe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_ITOM, 0x78cc47fe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_ITOMWR, 0x78cc4ffe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_MEMPUSHWR, 0x78cc6ffe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_WCIL, 0x78c86ffe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_WCILF, 0x78c867fe2036
UNC_CHA_TOR_OCCUPANCY.CXL_MISS_WIL, 0x78c87ffe2036
UNC_CHA_TOR_OCCUPANCY.IA, 0xc001ff0136
UNC_CHA_TOR_OCCUPANCY.IA_CLFLUSH, 0xc8c7ff0136
UNC_CHA_TOR_OCCUPANCY.IA_CLFLUSHOPT, 0xc8d7ff0136
UNC_CHA_TOR_OCCUPANCY.IA_CRD, 0xc80fff0136
UNC_CHA_TOR_OCCUPANCY.IA_CRD_PREF, 0xc88fff0136
UNC_CHA_TOR_OCCUPANCY.IA_DRD_OPT, 0xc827ff0136
UNC_CHA_TOR_OCCUPANCY.IA_DRD_OPT_PREF, 0xc8a7ff0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT, 0xc001fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CRD, 0xc80ffd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CRD_PREF, 0xc88ffd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_CXL_ACC, 0x10c001810136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_DRD_OPT, 0xc827fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_DRD_OPT_PREF, 0xc8a7fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_ITOM, 0xcc47fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LLCPREFCODE, 0xcccffd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LLCPREFDATA, 0xccd7fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_LLCPREFRFO, 0xccc7fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_RFO, 0xc807fd0136
UNC_CHA_TOR_OCCUPANCY.IA_HIT_RFO_PREF, 0xc887fd0136
UNC_CHA_TOR_OCCUPANCY.IA_ITOM, 0xcc47ff0136
UNC_CHA_TOR_OCCUPANCY.IA_ITOMCACHENEAR, 0xcd47ff0136
UNC_CHA_TOR_OCCUPANCY.IA_LLCPREFCODE, 0xcccfff0136
UNC_CHA_TOR_OCCUPANCY.IA_LLCPREFDATA, 0xccd7ff0136
UNC_CHA_TOR_OCCUPANCY.IA_LLCPREFRFO, 0xccc7ff0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS, 0xc001fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD, 0xc80ffe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD_LOCAL, 0xc80efe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD_PREF, 0xc88ffe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD_PREF_LOCAL, 0xc88efe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD_PREF_REMOTE, 0xc88f7e0136
