CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
UNC_CHA_HITME_LOOKUP.WRITE, 0x25e
UNC_CHA_HITME_MISS.NOTSHARED_RDINVOWN, 0x4060
UNC_CHA_HITME_MISS.READ_OR_INV, 0x8060
UNC_CHA_HITME_MISS.SHARED_RDINVOWN, 0x2060
UNC_CHA_HITME_UPDATE.DEALLOCATE, 0x1061
UNC_CHA_HITME_UPDATE.DEALLOCATE_RSPFWDI_LOC, 0x161
UNC_CHA_HITME_UPDATE.RDINVOWN, 0x861
UNC_CHA_HITME_UPDATE.RSPFWDI_REM, 0x261
UNC_CHA_HITME_UPDATE.SHARED, 0x461
UNC_CHA_HORZ_RING_AD_IN_USE.LEFT_EVEN, 0x1b6
UNC_CHA_HORZ_RING_AD_IN_USE.LEFT_ODD, 0x2b6
UNC_CHA_HORZ_RING_AD_IN_USE.RIGHT_EVEN, 0x4b6
UNC_CHA_HORZ_RING_AD_IN_USE.RIGHT_ODD, 0x8b6
UNC_CHA_HORZ_RING_AKC_IN_USE.LEFT_EVEN, 0x1bb
UNC_CHA_HORZ_RING_AKC_IN_USE.LEFT_ODD, 0x2bb
UNC_CHA_HORZ_RING_AKC_IN_USE.RIGHT_EVEN, 0x4bb
UNC_CHA_HORZ_RING_AKC_IN_USE.RIGHT_ODD, 0x8bb
UNC_CHA_HORZ_RING_AK_IN_USE.LEFT_EVEN, 0x1b7
UNC_CHA_HORZ_RING_AK_IN_USE.LEFT_ODD, 0x2b7
UNC_CHA_HORZ_RING_AK_IN_USE.RIGHT_EVEN, 0x4b7
UNC_CHA_HORZ_RING_AK_IN_USE.RIGHT_ODD, 0x8b7
UNC_CHA_HORZ_RING_BL_IN_USE.LEFT_EVEN, 0x1b8
UNC_CHA_HORZ_RING_BL_IN_USE.LEFT_ODD, 0x2b8
UNC_CHA_HORZ_RING_BL_IN_USE.RIGHT_EVEN, 0x4b8
UNC_CHA_HORZ_RING_BL_IN_USE.RIGHT_ODD, 0x8b8
