MEM_UNCORE_RETIRED.OTHER_CORE_L2_HITM, 0x20f
MEM_UNCORE_RETIRED.REMOTE_CACHE_LOCAL_HOME_HIT, 0x80f
MEM_UNCORE_RETIRED.REMOTE_DRAM, 0x100f
MEM_UNCORE_RETIRED.UNCACHEABLE, 0x800f
OFFCORE_REQUESTS.L1D_WRITEBACK, 0x40b0
OFFCORE_REQUESTS_SQ_FULL, 0x1b2
OFFCORE_RESPONSE.ANY_DATA.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.LLC_HIT_OTHER_CORE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.LOCAL_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.LOCAL_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.REMOTE_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.REMOTE_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.REMOTE_CACHE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_DATA.REMOTE_CACHE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.LLC_HIT_OTHER_CORE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.LOCAL_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.LOCAL_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.REMOTE_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.REMOTE_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.REMOTE_CACHE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_IFETCH.REMOTE_CACHE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.LLC_HIT_OTHER_CORE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.LOCAL_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.LOCAL_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.REMOTE_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.REMOTE_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.REMOTE_CACHE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_REQUEST.REMOTE_CACHE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.LLC_HIT_OTHER_CORE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.LOCAL_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.LOCAL_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.REMOTE_CACHE, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.REMOTE_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.REMOTE_CACHE_HIT, 0x1b7
OFFCORE_RESPONSE.ANY_RFO.REMOTE_CACHE_HITM, 0x1b7
OFFCORE_RESPONSE.COREWB.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.COREWB.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.COREWB.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.COREWB.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.COREWB.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.COREWB.LOCAL_CACHE, 0x1b7
OFFCORE_RESPONSE.COREWB.LOCAL_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.COREWB.REMOTE_CACHE, 0x1b7
OFFCORE_RESPONSE.COREWB.REMOTE_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.COREWB.REMOTE_CACHE_HIT, 0x1b7
OFFCORE_RESPONSE.COREWB.REMOTE_CACHE_HITM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.LLC_HIT_OTHER_CORE_HIT, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.LOCAL_CACHE, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.LOCAL_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.REMOTE_CACHE, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.REMOTE_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.REMOTE_CACHE_HIT, 0x1b7
OFFCORE_RESPONSE.DATA_IFETCH.REMOTE_CACHE_HITM, 0x1b7
OFFCORE_RESPONSE.DATA_IN.ANY_CACHE_DRAM, 0x1b7
OFFCORE_RESPONSE.DATA_IN.ANY_LOCATION, 0x1b7
OFFCORE_RESPONSE.DATA_IN.IO_CSR_MMIO, 0x1b7
OFFCORE_RESPONSE.DATA_IN.LLC_HIT_NO_OTHER_CORE, 0x1b7
OFFCORE_RESPONSE.DATA_IN.LLC_HIT_OTHER_CORE_HIT, 0x1b7
OFFCORE_RESPONSE.DATA_IN.LLC_HIT_OTHER_CORE_HITM, 0x1b7
OFFCORE_RESPONSE.DATA_IN.LOCAL_CACHE, 0x1b7
