umc_mem_clk, 0x0
l2_request_g1.prefetch_l2_cmd, 0x460
l2_request_g1.cacheable_ic_read, 0x1060
l2_request_g1.ls_rd_blk_c_s, 0x2060
l2_request_g1.rd_blk_x, 0x4060
l2_request_g1.rd_blk_l, 0x8060
l2_request_g1.all_dc, 0xe060
l2_request_g1.all_no_prefetch, 0xf160
l2_request_g1.all, 0xf760
l2_request_g2.ls_rd_sized_nc, 0x2061
l2_request_g2.ls_rd_sized, 0x4061
l2_wcb_req.wcb_close, 0x2063
l2_cache_req_stat.ic_fill_miss, 0x164
l2_cache_req_stat.ic_fill_hit_s, 0x264
l2_cache_req_stat.ic_fill_hit_x, 0x464
l2_cache_req_stat.ic_hit_in_l2, 0x664
l2_cache_req_stat.ic_access_in_l2, 0x764
l2_cache_req_stat.ls_rd_blk_c, 0x864
l2_cache_req_stat.ic_dc_miss_in_l2, 0x964
l2_cache_req_stat.ls_rd_blk_x, 0x1064
l2_cache_req_stat.ls_rd_blk_l_hit_s, 0x2064
l2_cache_req_stat.ls_rd_blk_l_hit_x, 0x4064
l2_cache_req_stat.ls_rd_blk_cs, 0x8064
l2_cache_req_stat.dc_hit_in_l2, 0xf064
l2_cache_req_stat.ic_dc_hit_in_l2, 0xf664
l2_cache_req_stat.dc_access_in_l2, 0xf864
l2_cache_req_stat.all, 0xff64
l2_pf_hit_l2.l2_hwpf, 0x1f70
l2_pf_hit_l2.l1_dc_hwpf, 0xe070
l2_pf_hit_l2.l1_dc_l2_hwpf, 0xff70
l2_pf_miss_l2_hit_l3.l2_hwpf, 0x1f71
l2_pf_miss_l2_hit_l3.l1_dc_hwpf, 0xe071
l2_pf_miss_l2_hit_l3.l1_dc_l2_hwpf, 0xff71
l2_pf_miss_l2_l3.l2_hwpf, 0x1f72
l2_pf_miss_l2_l3.l1_dc_hwpf, 0xe072
l2_pf_miss_l2_l3.l1_dc_l2_hwpf, 0xff72
l2_fill_rsp_src.local_ccx, 0x365
l2_fill_rsp_src.near_cache, 0x565
l2_fill_rsp_src.dram_io_near, 0x965
l2_fill_rsp_src.far_cache, 0x1165
l2_fill_rsp_src.dram_io_far, 0x4165
l2_fill_rsp_src.alternate_memories, 0x8165
l2_fill_rsp_src.all, 0xdf65
bp_l1_tlb_miss_l2_tlb_hit, 0x84
bp_l1_tlb_miss_l2_tlb_miss.if4k, 0x185
