misalign_mem_ref.store, 0x205
uops_executed.core_stall_count_no_port5, 0x1fb1
uops_executed.core_stall_cycles, 0x3fb1
uops_executed.core_stall_cycles_no_port5, 0x1fb1
uops_executed.port0, 0x1b1
uops_executed.port015, 0x40b1
uops_executed.port015_stall_cycles, 0x40b1
uops_executed.port1, 0x2b1
uops_executed.port234_core, 0x80b1
uops_executed.port2_core, 0x4b1
uops_executed.port3_core, 0x8b1
uops_executed.port4_core, 0x10b1
uops_executed.port5, 0x20b1
uops_issued.any, 0x10e
uops_issued.core_stall_cycles, 0x10e
uops_issued.cycles_all_threads, 0x10e
uops_issued.fused, 0x20e
uops_issued.stall_cycles, 0x10e
uops_retired.active_cycles, 0x1c2
uops_retired.any, 0x1c2
uops_retired.macro_fused, 0x4c2
uops_retired.retire_slots, 0x2c2
uops_retired.stall_cycles, 0x1c2
uops_retired.total_cycles, 0x1c2
uop_unfusion, 0x1db
cache_lock_cycles.l1d, 0x263
cache_lock_cycles.l1d_l2, 0x163
l1d.m_evict, 0x451
l1d.m_repl, 0x251
l1d.m_snoop_evict, 0x851
l1d.repl, 0x151
l1d_cache_prefetch_lock_fb_hit, 0x152
l1d_prefetch.miss, 0x24e
l1d_prefetch.requests, 0x14e
l1d_prefetch.triggers, 0x44e
l1d_wb_l2.e_state, 0x428
l1d_wb_l2.i_state, 0x128
l1d_wb_l2.mesi, 0xf28
l1d_wb_l2.m_state, 0x828
l1d_wb_l2.s_state, 0x228
l1i.cycles_stalled, 0x480
l1i.hits, 0x180
l1i.misses, 0x280
l1i.reads, 0x380
l2_data_rqsts.any, 0xff26
l2_data_rqsts.demand.e_state, 0x426
l2_data_rqsts.demand.i_state, 0x126
l2_data_rqsts.demand.mesi, 0xf26
l2_data_rqsts.demand.m_state, 0x826
l2_data_rqsts.demand.s_state, 0x226
l2_data_rqsts.prefetch.e_state, 0x4026
l2_data_rqsts.prefetch.i_state, 0x1026
l2_data_rqsts.prefetch.mesi, 0xf026
l2_data_rqsts.prefetch.m_state, 0x8026
l2_data_rqsts.prefetch.s_state, 0x2026
l2_lines_in.any, 0x7f1
l2_lines_in.e_state, 0x4f1
l2_lines_in.s_state, 0x2f1
l2_lines_out.any, 0xff2
l2_lines_out.demand_clean, 0x1f2
l2_lines_out.demand_dirty, 0x2f2
l2_lines_out.prefetch_clean, 0x4f2
l2_lines_out.prefetch_dirty, 0x8f2
l2_rqsts.ifetches, 0x3024
l2_rqsts.ifetch_hit, 0x1024
l2_rqsts.ifetch_miss, 0x2024
l2_rqsts.ld_hit, 0x124
l2_rqsts.ld_miss, 0x224
l2_rqsts.loads, 0x324
l2_rqsts.miss, 0xaa24
l2_rqsts.prefetches, 0xc024
l2_rqsts.prefetch_hit, 0x4024
l2_rqsts.prefetch_miss, 0x8024
l2_rqsts.references, 0xff24
l2_rqsts.rfos, 0xc24
l2_rqsts.rfo_hit, 0x424
l2_rqsts.rfo_miss, 0x824
l2_transactions.any, 0x80f0
l2_transactions.fill, 0x20f0
l2_transactions.ifetch, 0x4f0
l2_transactions.l1d_wb, 0x10f0
l2_transactions.load, 0x1f0
l2_transactions.prefetch, 0x8f0
l2_transactions.rfo, 0x2f0
l2_transactions.wb, 0x40f0
l2_write.lock.e_state, 0x4027
