LD_BLOCKS_PARTIAL.ADDRESS_ALIAS, 0x107
LOAD_HIT_PRE.SW_PF, 0x14c
LSD.CYCLES_4_UOPS, 0x1a8
LSD.CYCLES_ACTIVE, 0x1a8
LSD.CYCLES_OK, 0x1a8
LSD.UOPS, 0x1a8
MACHINE_CLEARS.COUNT, 0x1c3
MACHINE_CLEARS.SMC, 0x4c3
OTHER_ASSISTS.ANY, 0x3fc1
PARTIAL_RAT_STALLS.SCOREBOARD, 0x159
RESOURCE_STALLS.ANY, 0x1a2
RESOURCE_STALLS.SB, 0x8a2
ROB_MISC_EVENTS.LBR_INSERTS, 0x20cc
ROB_MISC_EVENTS.PAUSE_INST, 0x40cc
RS_EVENTS.EMPTY_CYCLES, 0x15e
RS_EVENTS.EMPTY_END, 0x15e
UOPS_DISPATCHED_PORT.PORT_0, 0x1a1
UOPS_DISPATCHED_PORT.PORT_1, 0x2a1
UOPS_DISPATCHED_PORT.PORT_2, 0x4a1
UOPS_DISPATCHED_PORT.PORT_3, 0x8a1
UOPS_DISPATCHED_PORT.PORT_4, 0x10a1
UOPS_DISPATCHED_PORT.PORT_5, 0x20a1
UOPS_DISPATCHED_PORT.PORT_6, 0x40a1
UOPS_DISPATCHED_PORT.PORT_7, 0x80a1
UOPS_EXECUTED.CORE, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_1, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_2, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_3, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_4, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_NONE, 0x2b1
UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC, 0x1b1
UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC, 0x1b1
UOPS_EXECUTED.CYCLES_GE_3_UOPS_EXEC, 0x1b1
UOPS_EXECUTED.CYCLES_GE_4_UOPS_EXEC, 0x1b1
UOPS_EXECUTED.STALL_CYCLES, 0x1b1
UOPS_EXECUTED.THREAD, 0x1b1
UOPS_EXECUTED.X87, 0x10b1
UOPS_ISSUED.ANY, 0x10e
UOPS_ISSUED.SLOW_LEA, 0x200e
UOPS_ISSUED.STALL_CYCLES, 0x10e
UOPS_ISSUED.VECTOR_WIDTH_MISMATCH, 0x20e
UOPS_RETIRED.MACRO_FUSED, 0x4c2
UOPS_RETIRED.RETIRE_SLOTS, 0x2c2
UOPS_RETIRED.STALL_CYCLES, 0x2c2
UOPS_RETIRED.TOTAL_CYCLES, 0x2c2
L1D.REPLACEMENT, 0x151
L1D_PEND_MISS.FB_FULL, 0x248
L1D_PEND_MISS.PENDING, 0x148
L1D_PEND_MISS.PENDING_CYCLES, 0x148
L1D_PEND_MISS.PENDING_CYCLES_ANY, 0x148
L2_LINES_IN.ALL, 0x1ff1
L2_LINES_OUT.NON_SILENT, 0x2f2
