UNC_C_RING_AD_USED.DOWN_VR0_ODD, 0x81b
UNC_C_RING_AD_USED.DOWN_VR1_EVEN, 0x401b
UNC_C_RING_AD_USED.DOWN_VR1_ODD, 0x801b
UNC_C_RING_AD_USED.UP, 0x331b
UNC_C_RING_AD_USED.UP_VR0_EVEN, 0x11b
UNC_C_RING_AD_USED.UP_VR0_ODD, 0x21b
UNC_C_RING_AD_USED.UP_VR1_EVEN, 0x101b
UNC_C_RING_AD_USED.UP_VR1_ODD, 0x201b
UNC_C_RING_AK_USED.CCW, 0xc1c
UNC_C_RING_AK_USED.CW, 0x31c
UNC_C_RING_AK_USED.DOWN, 0xcc1c
UNC_C_RING_AK_USED.DOWN_VR0_EVEN, 0x41c
UNC_C_RING_AK_USED.DOWN_VR0_ODD, 0x81c
UNC_C_RING_AK_USED.DOWN_VR1_EVEN, 0x401c
UNC_C_RING_AK_USED.DOWN_VR1_ODD, 0x801c
UNC_C_RING_AK_USED.UP, 0x331c
UNC_C_RING_AK_USED.UP_VR0_EVEN, 0x11c
UNC_C_RING_AK_USED.UP_VR0_ODD, 0x21c
UNC_C_RING_AK_USED.UP_VR1_EVEN, 0x101c
UNC_C_RING_AK_USED.UP_VR1_ODD, 0x201c
UNC_C_RING_BL_USED.CCW, 0xc1d
UNC_C_RING_BL_USED.CW, 0x31d
UNC_C_RING_BL_USED.DOWN, 0xcc1d
UNC_C_RING_BL_USED.DOWN_VR0_EVEN, 0x41d
UNC_C_RING_BL_USED.DOWN_VR0_ODD, 0x81d
UNC_C_RING_BL_USED.DOWN_VR1_EVEN, 0x401d
UNC_C_RING_BL_USED.DOWN_VR1_ODD, 0x801d
UNC_C_RING_BL_USED.UP, 0x331d
UNC_C_RING_BL_USED.UP_VR0_EVEN, 0x11d
UNC_C_RING_BL_USED.UP_VR0_ODD, 0x21d
UNC_C_RING_BL_USED.UP_VR1_EVEN, 0x101d
UNC_C_RING_BL_USED.UP_VR1_ODD, 0x201d
UNC_C_RING_BOUNCES.AD_IRQ, 0x205
UNC_C_RING_BOUNCES.AK, 0x405
UNC_C_RING_BOUNCES.AK_CORE, 0x205
UNC_C_RING_BOUNCES.BL, 0x805
UNC_C_RING_BOUNCES.BL_CORE, 0x405
UNC_C_RING_BOUNCES.IV, 0x1005
UNC_C_RING_BOUNCES.IV_CORE, 0x805
UNC_C_RING_IV_USED.ANY, 0xf1e
UNC_C_RING_IV_USED.DOWN, 0xcc1e
UNC_C_RING_IV_USED.UP, 0x331e
UNC_C_RING_SINK_STARVED.AD_IPQ, 0x206
UNC_C_RING_SINK_STARVED.AD_IRQ, 0x106
UNC_C_RING_SINK_STARVED.IV, 0x1006
UNC_C_RING_SRC_THRTL, 0x7
UNC_C_RxR_EXT_STARVED.IPQ, 0x212
UNC_C_RxR_EXT_STARVED.IRQ, 0x112
UNC_C_RxR_EXT_STARVED.ISMQ_BIDS, 0x812
UNC_C_RxR_EXT_STARVED.PRQ, 0x412
UNC_C_RxR_INSERTS.IPQ, 0x413
UNC_C_RxR_INSERTS.IRQ, 0x113
UNC_C_RxR_INSERTS.IRQ_REJ, 0x213
UNC_C_RxR_INSERTS.IRQ_REJECTED, 0x213
UNC_C_RxR_INSERTS.VFIFO, 0x1013
UNC_C_RxR_INT_STARVED.IPQ, 0x414
UNC_C_RxR_INT_STARVED.IRQ, 0x114
UNC_C_RxR_INT_STARVED.ISMQ, 0x814
UNC_C_RxR_IPQ_RETRY.ADDR_CONFLICT, 0x431
UNC_C_RxR_IPQ_RETRY.ANY, 0x131
UNC_C_RxR_IPQ_RETRY.FULL, 0x231
UNC_C_RxR_IPQ_RETRY.QPI_CREDITS, 0x1031
UNC_C_RxR_IRQ_RETRY.ADDR_CONFLICT, 0x432
UNC_C_RxR_IRQ_RETRY.ANY, 0x132
UNC_C_RxR_IRQ_RETRY.FULL, 0x232
UNC_C_RxR_IRQ_RETRY.IIO_CREDITS, 0x2032
UNC_C_RxR_IRQ_RETRY.QPI_CREDITS, 0x1032
UNC_C_RxR_IRQ_RETRY.RTID, 0x832
UNC_C_RxR_ISMQ_RETRY.ANY, 0x133
UNC_C_RxR_ISMQ_RETRY.FULL, 0x233
UNC_C_RxR_ISMQ_RETRY.IIO_CREDITS, 0x2033
UNC_C_RxR_ISMQ_RETRY.QPI_CREDITS, 0x1033
UNC_C_RxR_ISMQ_RETRY.RTID, 0x833
UNC_C_RxR_ISMQ_RETRY.WB_CREDITS, 0x8033
UNC_C_RxR_OCCUPANCY.IPQ, 0x411
UNC_C_RxR_OCCUPANCY.IRQ, 0x111
UNC_C_RxR_OCCUPANCY.IRQ_REJ, 0x211
UNC_C_RxR_OCCUPANCY.IRQ_REJECTED, 0x211
UNC_C_RxR_OCCUPANCY.VFIFO, 0x1011
UNC_C_TOR_INSERTS.ALL, 0x835
UNC_C_TOR_INSERTS.EVICTION, 0x435
UNC_C_TOR_INSERTS.LOCAL, 0x2835
UNC_C_TOR_INSERTS.LOCAL_OPCODE, 0x2135
UNC_C_TOR_INSERTS.MISS_LOCAL, 0x2a35
UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE, 0x2335
UNC_C_TOR_INSERTS.MISS_OPCODE, 0x335
UNC_C_TOR_INSERTS.MISS_REMOTE, 0x8a35
UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE, 0x8335
UNC_C_TOR_INSERTS.NID_ALL, 0x4835
UNC_C_TOR_INSERTS.NID_EVICTION, 0x4435
UNC_C_TOR_INSERTS.NID_MISS_ALL, 0x4a35
UNC_C_TOR_INSERTS.NID_MISS_OPCODE, 0x4335
UNC_C_TOR_INSERTS.NID_OPCODE, 0x4135
UNC_C_TOR_INSERTS.NID_WB, 0x5035
UNC_C_TOR_INSERTS.OPCODE, 0x135
UNC_C_TOR_INSERTS.REMOTE, 0x8835
UNC_C_TOR_INSERTS.REMOTE_OPCODE, 0x8135
UNC_C_TOR_INSERTS.WB, 0x1035
UNC_C_TOR_OCCUPANCY.ALL, 0x836
UNC_C_TOR_OCCUPANCY.EVICTION, 0x436
UNC_C_TOR_OCCUPANCY.LOCAL, 0x2836
UNC_C_TOR_OCCUPANCY.LOCAL_OPCODE, 0x2136
UNC_C_TOR_OCCUPANCY.MISS_ALL, 0xa36
UNC_C_TOR_OCCUPANCY.MISS_LOCAL, 0x2a36
UNC_C_TOR_OCCUPANCY.MISS_LOCAL_OPCODE, 0x2336
UNC_C_TOR_OCCUPANCY.MISS_OPCODE, 0x336
UNC_C_TOR_OCCUPANCY.MISS_REMOTE, 0x8a36
UNC_C_TOR_OCCUPANCY.MISS_REMOTE_OPCODE, 0x8336
UNC_C_TOR_OCCUPANCY.NID_ALL, 0x4836
UNC_C_TOR_OCCUPANCY.NID_EVICTION, 0x4436
UNC_C_TOR_OCCUPANCY.NID_MISS_ALL, 0x4a36
UNC_C_TOR_OCCUPANCY.NID_MISS_OPCODE, 0x4336
UNC_C_TOR_OCCUPANCY.NID_OPCODE, 0x4136
UNC_C_TOR_OCCUPANCY.NID_WB, 0x5036
UNC_C_TOR_OCCUPANCY.OPCODE, 0x136
UNC_C_TOR_OCCUPANCY.REMOTE, 0x8836
UNC_C_TOR_OCCUPANCY.REMOTE_OPCODE, 0x8136
UNC_C_TOR_OCCUPANCY.WB, 0x1036
UNC_C_TxR_ADS_USED.AD, 0x104
UNC_C_TxR_ADS_USED.AK, 0x204
UNC_C_TxR_ADS_USED.BL, 0x404
UNC_C_TxR_INSERTS.AD_CACHE, 0x102
UNC_C_TxR_INSERTS.AD_CORE, 0x1002
UNC_C_TxR_INSERTS.AK_CACHE, 0x202
UNC_C_TxR_INSERTS.AK_CORE, 0x2002
UNC_C_TxR_INSERTS.BL_CACHE, 0x402
UNC_C_TxR_INSERTS.BL_CORE, 0x4002
UNC_C_TxR_INSERTS.IV_CACHE, 0x802
UNC_C_TxR_STARVED.AD_CORE, 0x1003
UNC_C_TxR_STARVED.AK_BOTH, 0x203
UNC_C_TxR_STARVED.IV, 0x803
UNC_H_BT_BYPASS, 0x52
UNC_H_BT_CYCLES_NE, 0x42
UNC_H_BT_CYCLES_NE.LOCAL, 0x142
